a	x0	beta	xi
1.4529387379434433	2.492703618231072	0.1	--
2.164220486790863	3.237833374119984	0.05623413251903491	--
3.147993661749269	4.2611857880021775	0.03162277660168379	--
4.515163146772475	5.674747374615914	0.01778279410038923	--
6.454822241889362	7.659644387243995	0.01	--
9.200219317069195	10.452562221395098	0.005623413251903491	--
13.099173937201344	14.401018704325413	0.0031622776601683794	--
18.651039621187287	20.00417778066311	0.0017782794100389228	--
26.572992732238834	27.979146399405117	0.001	--
38.25778600190353	39.69502571497227	0.0005623413251903491	--
54.669983121248166	56.159899828604786	0.00031622776601683794	--
79.07658538157682	80.59108986159394	0.00017782794100389227	--
114.65398709332264	116.18903777927038	0.0001	--
166.5967386528167	168.14868396895574	5.623413251903491e-05	--
242.53179060836973	244.09737865867177	3.1622776601683795e-05	--
1.7058622182949332	2.8931618727607793	0.1	1.0
2.4462277306770503	3.7403149383053353	0.05623413251903491	1.0
3.4856212587574524	4.886742284678321	0.03162277660168379	1.0
4.933351239181826	6.4485703516168815	0.01778279410038923	1.0
6.955408947953586	8.592687939989775	0.01	1.0
9.88511192556453	11.630018229669199	0.005623413251903491	1.0
14.050290454166753	15.902995776628865	0.0031622776601683794	1.0
19.980688312625354	21.941233587800824	0.0017782794100389228	1.0
28.43436804912126	30.502850059412406	0.001	1.0
41.076076610512885	43.20824612896529	0.0005623413251903491	1.0
59.482390307864435	61.66876349229993	0.00031622776601683794	1.0
85.0066351996516	87.29030075717338	0.00017782794100389227	1.0
123.56453941154645	125.88877116687985	0.0001	1.0
179.939036261028	182.29670092202053	5.623413251903491e-05	1.0
443.2295081040915	444.02070997858533	3.1622776601683795e-05	1.0
1.719874571899898	2.9322575727874587	0.1	0.95
2.4609896709950743	3.7794980760373043	0.05623413251903491	0.95
3.4764621278990515	4.912613084401574	0.03162277660168379	0.95
4.915380555552818	6.468195005570141	0.01778279410038923	0.95
6.991362952877615	8.650426988003577	0.01	0.95
9.836460773491341	11.62550236795793	0.005623413251903491	0.95
13.974275992643133	15.874871308801714	0.0031622776601683794	0.95
19.86357044115371	21.876013070948225	0.0017782794100389228	0.95
28.634381917892846	30.719477315281022	0.001	0.95
