beta	xi = 0.1	xi = 0.2	xi = 0.3	xi = 0.4	xi = 0.5	xi = 0.6	xi = 0.7	xi = 0.8	xi = 0.9	xi = 1.0
0.812896	-0.239443	0.154960	0.286427	0.352161	0.391602	0.417895	0.436676	0.450762	0.461718	0.470482
0.816237	-0.238198	0.155822	0.287162	0.352832	0.392234	0.418502	0.437264	0.451337	0.462282	0.471038
0.819579	-0.236956	0.156682	0.287894	0.353500	0.392864	0.419107	0.437851	0.451910	0.462844	0.471592
0.822920	-0.235718	0.157539	0.288625	0.354168	0.393493	0.419710	0.438437	0.452482	0.463406	0.472145
0.826261	-0.234484	0.158394	0.289354	0.354833	0.394121	0.420313	0.439021	0.453053	0.463966	0.472697
0.829602	-0.233254	0.159247	0.290081	0.355497	0.394747	0.420914	0.439605	0.453622	0.464525	0.473247
0.832943	-0.232027	0.160097	0.290806	0.356160	0.395372	0.421514	0.440186	0.454191	0.465083	0.473797
0.836284	-0.230804	0.160946	0.291529	0.356821	0.395996	0.422112	0.440767	0.454758	0.465640	0.474346
0.839625	-0.229585	0.161792	0.292251	0.357480	0.396618	0.422710	0.441347	0.455324	0.466196	0.474893
0.842967	-0.228370	0.162635	0.292970	0.358138	0.397239	0.423306	0.441925	0.455889	0.466751	0.475440
0.846308	-0.227158	0.163477	0.293689	0.358794	0.397858	0.423900	0.442502	0.456453	0.467304	0.475985
0.849649	-0.225950	0.164316	0.294405	0.359449	0.398476	0.424494	0.443078	0.457016	0.467857	0.476529
0.852990	-0.224746	0.165153	0.295119	0.360103	0.399093	0.425086	0.443652	0.457577	0.468408	0.477072
0.856331	-0.223545	0.165988	0.295832	0.360755	0.399708	0.425677	0.444226	0.458138	0.468958	0.477614
0.859672	-0.222348	0.166821	0.296544	0.361405	0.400322	0.426266	0.444798	0.458697	0.469507	0.478156
0.863013	-0.221154	0.167651	0.297253	0.362054	0.400934	0.426855	0.445369	0.459255	0.470055	0.478696
0.866355	-0.219964	0.168480	0.297961	0.362701	0.401546	0.427442	0.445939	0.459812	0.470602	0.479235
0.869696	-0.218778	0.169306	0.298667	0.363347	0.402156	0.428028	0.446508	0.460368	0.471148	0.479772
0.873037	-0.217594	0.170130	0.299371	0.363992	0.402764	0.428613	0.447076	0.460923	0.471693	0.480309
0.876378	-0.216415	0.170952	0.300074	0.364635	0.403372	0.429196	0.447642	0.461477	0.472237	0.480845
0.879719	-0.215238	0.171772	0.300775	0.365277	0.403978	0.429779	0.448208	0.462030	0.472780	0.481380
0.883060	-0.214065	0.172590	0.301475	0.365917	0.404583	0.430360	0.448772	0.462581	0.473322	0.481914
0.886401	-0.212896	0.173405	0.302173	0.366556	0.405186	0.430940	0.449335	0.463132	0.473862	0.482447
0.889742	-0.211730	0.174219	0.302869	0.367194	0.405789	0.431519	0.449897	0.463681	0.474402	0.482978
0.893084	-0.210567	0.175031	0.303564	0.367830	0.406390	0.432096	0.450458	0.464229	0.474940	0.483509
0.896425	-0.209408	0.175841	0.304257	0.368465	0.406989	0.432673	0.451018	0.464777	0.475478	0.484039
0.899766	-0.208251	0.176648	0.304948	0.369098	0.407588	0.433248	0.451577	0.465323	0.476015	0.484568
0.903107	-0.207098	0.177454	0.305638	0.369730	0.408185	0.433822	0.452134	0.465868	0.476550	0.485096
0.906448	-0.205949	0.178258	0.306326	0.370361	0.408781	0.434395	0.452691	0.466412	0.477085	0.485623
0.909789	-0.204802	0.179059	0.307013	0.370990	0.409376	0.434967	0.453246	0.466956	0.477618	0.486149
0.913130	-0.203659	0.179859	0.307698	0.371618	0.409970	0.435538	0.453801	0.467498	0.478151	0.486674
0.916472	-0.202519	0.180657	0.308382	0.372245	0.410562	0.436107	0.454354	0.468039	0.478683	0.487198
0.919813	-0.201382	0.181453	0.309064	0.372870	0.411154	0.436676	0.454906	0.468579	0.479213	0.487721
0.923154	-0.200249	0.182247	0.309745	0.373494	0.411744	0.437243	0.455457	0.469118	0.479743	0.488243
0.926495	-0.199118	0.183039	0.310424	0.374117	0.412333	0.437810	0.456008	0.469656	0.480271	0.488764
0.929836	-0.197991	0.183829	0.311102	0.374738	0.412920	0.438375	0.456557	0.470193	0.480799	0.489284
0.933177	-0.196866	0.184617	0.311778	0.375358	0.413507	0.438939	0.457105	0.470729	0.481326	0.489803
0.936518	-0.195745	0.185403	0.312453	0.375977	0.414092	0.439502	0.457652	0.471264	0.481852	0.490322
0.939860	-0.194627	0.186188	0.313126	0.376595	0.414676	0.440064	0.458198	0.471798	0.482377	0.490839
0.943201	-0.193512	0.186970	0.313797	0.377211	0.415259	0.440625	0.458743	0.472331	0.482900	0.491356
0.946542	-0.192399	0.187751	0.314468	0.377826	0.415841	0.441184	0.459287	0.472864	0.483423	0.491871
0.949883	-0.191290	0.188530	0.315136	0.378440	0.416422	0.441743	0.459830	0.473395	0.483945	0.492386
0.953224	-0.190184	0.189307	0.315804	0.379052	0.417001	0.442301	0.460372	0.473925	0.484466	0.492900
0.956565	-0.189081	0.190082	0.316470	0.379664	0.417580	0.442857	0.460913	0.474454	0.484987	0.493412
0.959906	-0.187981	0.190856	0.317134	0.380274	0.418157	0.443413	0.461453	0.474983	0.485506	0.493924
0.963247	-0.186883	0.191627	0.317797	0.380882	0.418733	0.443967	0.461992	0.475510	0.486024	0.494436
0.966589	-0.185789	0.192397	0.318459	0.381490	0.419309	0.444521	0.462530	0.476036	0.486542	0.494946
0.969930	-0.184697	0.193165	0.319119	0.382096	0.419883	0.445073	0.463067	0.476562	0.487058	0.495455
0.973271	-0.183608	0.193932	0.319778	0.382702	0.420455	0.445625	0.463603	0.477086	0.487574	0.495963
0.976612	-0.182523	0.194696	0.320436	0.383305	0.421027	0.446175	0.464138	0.477610	0.488088	0.496471
0.979953	-0.181440	0.195459	0.321092	0.383908	0.421598	0.446725	0.464672	0.478133	0.488602	0.496978
0.983294	-0.180359	0.196220	0.321747	0.384510	0.422168	0.447273	0.465205	0.478655	0.489115	0.497484
0.986635	-0.179282	0.196979	0.322400	0.385110	0.422736	0.447820	0.465738	0.479176	0.489627	0.497989
0.989977	-0.178207	0.197737	0.323052	0.385709	0.423304	0.448367	0.466269	0.479695	0.490138	0.498493
0.993318	-0.177135	0.198493	0.323703	0.386307	0.423870	0.448912	0.466799	0.480215	0.490649	0.498996
0.996659	-0.176066	0.199247	0.324352	0.386904	0.424436	0.449457	0.467329	0.480733	0.491158	0.499498
1.000000	-0.175000	0.200000	0.325000	0.387500	0.425000	0.450000	0.467857	0.481250	0.491667	0.500000
