beta	xi = 0.1	xi = 0.2	xi = 0.3	xi = 0.4	xi = 0.5	xi = 0.6	xi = 0.7	xi = 0.8	xi = 0.9	xi = 1.0
0.568993	-0.343236	0.084281	0.226787	0.298040	0.340792	0.369293	0.389651	0.404919	0.416795	0.426295
0.572334	-0.341603	0.085375	0.227702	0.298865	0.341563	0.370028	0.390360	0.405609	0.417470	0.426958
0.575676	-0.339978	0.086465	0.228613	0.299687	0.342331	0.370761	0.391068	0.406298	0.418143	0.427620
0.579017	-0.338360	0.087551	0.229521	0.300506	0.343097	0.371491	0.391773	0.406984	0.418815	0.428279
0.582358	-0.336749	0.088632	0.230426	0.301323	0.343861	0.372220	0.392476	0.407668	0.419484	0.428937
0.585699	-0.335145	0.089709	0.231327	0.302137	0.344622	0.372946	0.393177	0.408350	0.420152	0.429593
0.589040	-0.333548	0.090782	0.232226	0.302948	0.345381	0.373669	0.393876	0.409030	0.420817	0.430247
0.592381	-0.331958	0.091851	0.233121	0.303756	0.346137	0.374391	0.394572	0.409708	0.421481	0.430899
0.595722	-0.330375	0.092916	0.234013	0.304562	0.346891	0.375110	0.395267	0.410385	0.422143	0.431549
0.599064	-0.328798	0.093977	0.234902	0.305365	0.347643	0.375828	0.395960	0.411059	0.422803	0.432198
0.602405	-0.327228	0.095034	0.235788	0.306166	0.348392	0.376543	0.396650	0.411731	0.423461	0.432844
0.605746	-0.325664	0.096088	0.236671	0.306963	0.349139	0.377255	0.397339	0.412401	0.424117	0.433489
0.609087	-0.324107	0.097137	0.237551	0.307759	0.349883	0.377966	0.398025	0.413070	0.424771	0.434132
0.612428	-0.322557	0.098182	0.238428	0.308552	0.350626	0.378675	0.398710	0.413736	0.425424	0.434773
0.615769	-0.321013	0.099224	0.239303	0.309342	0.351366	0.379381	0.399393	0.414401	0.426074	0.435413
0.619110	-0.319475	0.100262	0.240174	0.310130	0.352103	0.380086	0.400073	0.415064	0.426723	0.436051
0.622452	-0.317943	0.101296	0.241042	0.310915	0.352839	0.380788	0.400752	0.415725	0.427370	0.436687
0.625793	-0.316418	0.102326	0.241907	0.311698	0.353572	0.381489	0.401429	0.416384	0.428016	0.437321
0.629134	-0.314899	0.103353	0.242770	0.312478	0.354304	0.382187	0.402104	0.417041	0.428659	0.437954
0.632475	-0.313386	0.104376	0.243630	0.313256	0.355033	0.382883	0.402777	0.417697	0.429301	0.438585
0.635816	-0.311879	0.105395	0.244486	0.314032	0.355759	0.383578	0.403448	0.418351	0.429941	0.439214
0.639157	-0.310378	0.106411	0.245341	0.314805	0.356484	0.384270	0.404117	0.419002	0.430580	0.439842
0.642498	-0.308883	0.107423	0.246192	0.315576	0.357207	0.384961	0.404785	0.419653	0.431217	0.440468
0.645839	-0.307393	0.108432	0.247041	0.316345	0.357927	0.385649	0.405450	0.420301	0.431852	0.441092
0.649181	-0.305910	0.109437	0.247886	0.317111	0.358646	0.386336	0.406114	0.420948	0.432485	0.441715
0.652522	-0.304432	0.110439	0.248730	0.317875	0.359362	0.387020	0.406776	0.421593	0.433117	0.442336
0.655863	-0.302961	0.111438	0.249570	0.318637	0.360076	0.387703	0.407436	0.422236	0.433747	0.442956
0.659204	-0.301494	0.112433	0.250408	0.319396	0.360789	0.388384	0.408095	0.422878	0.434376	0.443574
0.662545	-0.300034	0.113424	0.251244	0.320153	0.361499	0.389063	0.408751	0.423518	0.435003	0.444191
0.665886	-0.298579	0.114412	0.252076	0.320908	0.362207	0.389740	0.409406	0.424156	0.435628	0.444806
0.669227	-0.297129	0.115397	0.252906	0.321661	0.362914	0.390415	0.410060	0.424793	0.436252	0.445419
0.672569	-0.295686	0.116379	0.253734	0.322411	0.363618	0.391089	0.410711	0.425428	0.436874	0.446031
0.675910	-0.294247	0.117358	0.254559	0.323160	0.364320	0.391761	0.411361	0.426061	0.437494	0.446641
0.679251	-0.292814	0.118333	0.255382	0.323906	0.365021	0.392430	0.412009	0.426693	0.438113	0.447250
0.682592	-0.291386	0.119305	0.256202	0.324650	0.365719	0.393099	0.412655	0.427323	0.438731	0.447857
0.685933	-0.289964	0.120274	0.257019	0.325392	0.366416	0.393765	0.413300	0.427951	0.439347	0.448463
0.689274	-0.288546	0.121239	0.257834	0.326132	0.367111	0.394430	0.413943	0.428578	0.439961	0.449068
0.692615	-0.287134	0.122202	0.258647	0.326870	0.367803	0.395092	0.414585	0.429204	0.440574	0.449671
0.695957	-0.285728	0.123161	0.259457	0.327605	0.368494	0.395754	0.415224	0.429828	0.441186	0.450272
0.699298	-0.284326	0.124117	0.260265	0.328339	0.369183	0.396413	0.415863	0.430450	0.441796	0.450872
0.702639	-0.282929	0.125071	0.261071	0.329071	0.369871	0.397071	0.416499	0.431071	0.442404	0.451471
0.705980	-0.281538	0.126021	0.261874	0.329800	0.370556	0.397727	0.417134	0.431690	0.443011	0.452068
0.709321	-0.280151	0.126968	0.262675	0.330528	0.371240	0.398381	0.417768	0.432308	0.443617	0.452664
0.712662	-0.278769	0.127912	0.263473	0.331253	0.371922	0.399034	0.418400	0.432924	0.444221	0.453258
0.716003	-0.277393	0.128854	0.264269	0.331977	0.372602	0.399685	0.419030	0.433539	0.444823	0.453851
0.719344	-0.276021	0.129792	0.265063	0.332699	0.373280	0.400334	0.419659	0.434152	0.445424	0.454443
0.722686	-0.274654	0.130728	0.265855	0.333418	0.373956	0.400982	0.420286	0.434764	0.446024	0.455033
0.726027	-0.273292	0.131660	0.266644	0.334136	0.374631	0.401628	0.420911	0.435374	0.446623	0.455622
0.729368	-0.271934	0.132590	0.267431	0.334852	0.375304	0.402273	0.421536	0.435983	0.447220	0.456209
0.732709	-0.270582	0.133517	0.268216	0.335566	0.375976	0.402916	0.422158	0.436590	0.447815	0.456795
0.736050	-0.269234	0.134441	0.268999	0.336278	0.376645	0.403557	0.422779	0.437196	0.448410	0.457380
0.739391	-0.267890	0.135362	0.269779	0.336988	0.377313	0.404197	0.423399	0.437801	0.449002	0.457964
0.742732	-0.266551	0.136280	0.270558	0.337696	0.377979	0.404835	0.424017	0.438404	0.449594	0.458546
