Lambda	Pi	R0	axis angle	d Lambda	d theta	region file
0.01628392581366107	0.271967495574683	0.2890397923046239	2.2769572267220415	0.08672866611696112	5.5901699437494745	new-042-628-ridge.reg
0.005390681111822561	0.64819900641763	0.05700820282524417	0.0805346598349156	0.009580073355293565	5.5901699437494745	new-109-246-ridge.reg
0.014436930876834925	0.08963025789335938	0.15029252568340082	1.6320961797849605	0.026397056690279835	5.5901699437494745	new-116-3101-ridge.reg
0.030890057174408705	0.030762688792506286	0.06299440789137287	2.3620623958493163	0.05323306185836483	5.5901699437494745	new-308-3036-ridge.reg
0.006005289818803138	0.06350114128357032	0.050852245756656915	0.37936721860782874	0.013211749751607457	5.5901699437494745	new-4285-458-ridge.reg
0.03910958683385599	0.11702391344920278	0.42470825881767216	1.3653927070413217	0.062011468081739976	5.5901699437494745	new-4468-605-ridge.reg
0.019343388267121522	0.2943803406414341	0.2670699228024453	0.6628884017835242	0.03651196591386073	5.5901699437494745	new-LL1-ridge.reg
0.09973343215111279	0.7659227286518844	0.34619438013027987	1.9032532591460773	0.13801285519690584	5.5901699437494745	new-LL3-ridge.reg
0.032070392344547234	0.24825399266315795	0.2192823335377281	1.5602102216913734	0.17477260893462618	5.5901699437494745	new-LL4-ridge.reg
0.061567967606860084	0.40765109190786764	0.10226910681901806	0.7026180107148262	0.05502068599108059	5.5901699437494745	new-LL5-ridge.reg
0.002980670177600008	1.423014972361776	0.7705748862825484	1.8089028979740605	0.3442417057556719	5.5901699437494745	new-LL6-ridge.reg
0.021570151532397403	0.4347103145179893	0.10140006740085607	1.3715867212935722	0.09085343685704239	5.5901699437494745	new-w000-400-ridge.reg
0.01055902189352187	0.03578190309425666	0.03253229737044805	1.1840295101363303	0.0355308630694221	5.5901699437494745	new-w005-514-ridge.reg
0.007666236597306049	0.2577023617343931	0.15718433398938667	0.847434864514418	0.06447127311095052	5.5901699437494745	new-w012-407-ridge.reg
0.006315405639797809	1.064037282347408	0.06452021708388483	0.7768267874525574	0.015061048458241879	5.5901699437494745	new-w030-524-ridge.reg
0.01079083391905965	0.2502657294779061	0.07029688513705819	0.36041083208405883	0.014972495674693794	5.5901699437494745	new-w069-601-ridge.reg
0.05462318918470091	0.212396014704491	0.1417311482922984	1.3377002829138274	0.061947726040529144	5.5901699437494745	new-w073-227-ridge.reg
0.13241060443660843	0.2556521723965482	0.23493275801593444	1.9038797527181006	0.23448734521954495	5.5901699437494745	new-w266-558-ridge.reg
