Lambda	Pi	R0	axis angle	d Lambda	d theta	region file
2.0455320160232557	2.244569720349655	49.66497611847815	6.638130067734245	0.23762288099004497	62.5	new-042-628-ridge.reg
3.606061208106638	7.862615884346674	31.940475110240023	72.12913929858418	0.010657637369014261	62.5	new-109-246-ridge.reg
1.613726813193521	1.377109804530657	25.082776101673716	36.29865095400578	0.011671799199502453	62.5	new-116-3101-ridge.reg
1.5865935808948508	1.3295685185315813	35.011645206182244	72.95152882162074	0.3375486395920164	62.5	new-308-3036-ridge.reg
2.133936411514628	2.8383861191300133	29.690189341176023	84.35905257832883	0.22152663654910087	62.5	new-4285-458-ridge.reg
1.7642597967217863	1.3598604978271087	41.376332979240544	0.7352539625664232	0.29989023013576943	62.5	new-4468-605-ridge.reg
2.344180836235768	2.6226707731854857	43.52505168007535	40.355936817007816	0.10754063482021914	62.5	new-LL1-ridge.reg
2.9983718834032507	3.156275647124673	34.118473642338365	48.262947196544516	1.1068270410535586	62.5	new-LL3-ridge.reg
3.3196897992197827	2.8338222436064306	39.99728798187397	4.052779125636034	0.5301839095109532	62.5	new-LL4-ridge.reg
3.491371777556913	5.234691773750984	35.57808454551184	62.49524555866991	0.2529886449434344	62.5	new-LL5-ridge.reg
4.3735169950253185	5.429802419787562	46.38513378487875	34.666699903480335	0.5558584578231033	62.5	new-LL6-ridge.reg
2.7457816636400247	3.940536507417362	21.22521824180096	37.23963153350033	0.6032700748901265	62.5	new-w000-400-ridge.reg
1.6883038165211568	1.4606987275061205	28.7337043639852	23.48296082301293	0.3255941378116609	62.5	new-w005-514-ridge.reg
2.595316266867144	2.469389551945452	28.102920087836893	41.04777878360894	0.16145564403055357	62.5	new-w012-407-ridge.reg
2.1720073713575254	4.248478715202313	10.463764782652694	45.24357435041079	0.24111329623257705	62.5	new-w030-524-ridge.reg
2.1804499006770683	2.5577043723062824	13.808413534411507	26.42319955608339	0.05415524043880593	62.5	new-w069-601-ridge.reg
2.359030499718716	2.783014912990771	25.65247336228794	70.98160447017304	0.4718233939140329	62.5	new-w073-227-ridge.reg
2.556136948647739	1.86221760745683	22.06401726582508	82.61262229503215	0.3902822330909075	62.5	new-w266-558-ridge.reg
