Comparison	Variable	mean A	mean B	sigma A	sigma B	delta A	delta B	r_b	d_c	sig/tau	K-S p	r_b p	B-F p
Environment: Facing	Rc	1.757	1.852	0.854	0.899	0.087	0.083	0.042	0.110	1.053	0.717	0.676	0.377
Environment: Facing	R90	1.735	1.693	0.283	0.338	0.238	0.218	-0.070	-0.142	1.194	0.965	0.49	0.392
Environment: Facing	R90_asym	0.190	0.195	0.161	0.172	nan	nan	-0.019	0.034	1.066	0.556	0.85	0.438
Environment: H II	Rc	1.757	1.907	0.854	0.955	0.087	0.105	0.024	0.174	1.118	0.284	0.875	0.255
Environment: H II	R90	1.735	1.680	0.283	0.309	0.238	0.233	-0.130	-0.193	1.092	0.701	0.391	0.782
Environment: H II	R90_asym	0.190	0.175	0.161	0.138	nan	nan	-0.048	-0.095	0.855	0.785	0.754	0.799
Single/Multiple source candidate	Rc	1.767	1.833	0.825	0.988	0.090	0.080	0.027	0.076	1.198	0.977	0.756	0.605
Single/Multiple source candidate	R90	1.709	1.762	0.289	0.315	0.230	0.243	0.074	0.177	1.090	0.111	0.396	0.338
Single/Multiple source candidate	R90_asym	0.184	0.206	0.162	0.160	nan	nan	0.093	0.136	0.987	0.559	0.284	0.97
With/without 8 micron	Rc	1.714	1.802	0.598	0.926	0.091	0.087	-0.012	0.101	1.547	0.875	0.904	0.2
With/without 8 micron	R90	1.734	1.721	0.289	0.298	0.223	0.237	-0.042	-0.044	1.031	0.299	0.667	0.563
With/without 8 micron	R90_asym	0.203	0.186	0.205	0.149	nan	nan	0.021	-0.106	0.726	0.967	0.826	0.219
3-star/4+-star	Rc	1.632	2.000	0.910	0.764	0.106	0.061	0.386	0.431	0.840	3.75e-05	7.66e-07	0.762
3-star/4+-star	R90	1.661	1.812	0.288	0.286	0.247	0.216	0.328	0.525	0.990	0.000562	2.63e-05	0.403
3-star/4+-star	R90_asym	0.189	0.190	0.162	0.161	nan	nan	-0.007	0.009	0.994	0.539	0.927	0.561
Low/high extinction	Rc	1.725	1.846	0.822	0.917	0.091	0.085	0.082	0.139	1.116	0.379	0.285	0.982
Low/high extinction	R90	1.703	1.742	0.267	0.323	0.233	0.235	0.040	0.132	1.213	0.572	0.602	0.123
Low/high extinction	R90_asym	0.186	0.195	0.138	0.183	nan	nan	-0.039	0.057	1.326	0.0609	0.61	0.112
Low/high R0	Rc	1.766	1.803	0.975	0.755	0.114	0.062	0.100	0.043	0.774	0.508	0.192	0.599
Low/high R0	R90	1.707	1.739	0.250	0.336	0.256	0.212	0.061	0.110	1.342	0.00208	0.428	0.00139
Low/high R0	R90_asym	0.175	0.204	0.157	0.165	nan	nan	0.091	0.176	1.054	0.00612	0.238	0.193
Faint/bright H magnitude	Rc	1.655	1.917	0.631	1.045	0.097	0.078	0.123	0.303	1.654	0.572	0.111	0.0335
Faint/bright H magnitude	R90	1.677	1.768	0.269	0.316	0.231	0.236	0.174	0.308	1.175	0.018	0.0235	0.125
Faint/bright H magnitude	R90_asym	0.183	0.198	0.161	0.163	nan	nan	0.070	0.093	1.013	0.472	0.365	0.761
Low/high |b|	Rc	1.706	1.862	0.727	0.988	0.085	0.091	0.069	0.181	1.358	0.0379	0.368	0.0842
Low/high |b|	R90	1.722	1.724	0.328	0.261	0.234	0.234	0.020	0.008	0.796	0.255	0.795	0.0534
Low/high |b|	R90_asym	0.188	0.191	0.161	0.162	nan	nan	0.009	0.021	1.005	0.884	0.907	0.694
High/low cos(l)	Rc	1.807	1.751	0.946	0.742	0.090	0.084	-0.000	-0.064	0.785	0.985	0.999	0.549
High/low cos(l)	R90	1.734	1.707	0.279	0.321	0.241	0.223	-0.049	-0.093	1.152	0.504	0.532	0.159
High/low cos(l)	R90_asym	0.182	0.201	0.155	0.171	nan	nan	0.054	0.122	1.100	0.761	0.491	0.365
OB vs Orion	Rc	1.784	3.090	0.871	1.666	nan	nan	0.570	1.370	1.911	0.00112	5.73e-05	0.00133
OB vs Orion	R90	1.723	2.532	0.297	0.749	nan	nan	0.710	2.308	2.526	9.99e-06	5.49e-07	1.49e-09
OB vs Orion	R90_asym	0.190	0.329	0.162	0.257	nan	nan	0.353	0.817	1.586	0.0264	0.0127	0.038
OB vs RSG	Rc	1.784	1.479	0.871	0.227	nan	nan	-0.159	-0.362	0.260	0.000594	0.288	0.0151
OB vs RSG	R90	1.723	1.410	0.297	0.101	nan	nan	-0.719	-1.089	0.339	2.78e-06	1.56e-06	0.004
OB vs RSG	R90_asym	0.190	0.073	0.162	0.038	nan	nan	-0.452	-0.732	0.235	0.0159	0.0157	0.0132
