theta	R
0.0	0.23191747548909905
0.01578689775673263	0.2319598227856075
0.03157379551346526	0.23211200828396963
0.04736069327019789	0.232041588011494
0.06314759102693052	0.23216253403472792
0.07893448878366315	0.2323200465427278
0.09472138654039577	0.23251588815349525
0.1105082842971284	0.23266379897501802
0.12629518205386103	0.23281698722190566
0.14208207981059368	0.23303699731843192
0.1578689775673263	0.23332304860159753
0.1736558753240589	0.23366270556544402
0.18944277308079155	0.2340179710771714
0.2052296708375242	0.2342688211209554
0.2210165685942568	0.23464113711953452
0.23680346635098942	0.23504756748662753
0.25259036410772207	0.2354866302944854
0.2683772618644547	0.23595693134984355
0.28416415962118735	0.23641481664865072
0.29995105737791994	0.2368983536399454
0.3157379551346526	0.2375350554147123
0.3315248528913852	0.2380709563436734
0.3473117506481178	0.23863217062280376
0.36309864840485045	0.2392498413389161
0.3788855461615831	0.23995542542854295
0.39467244391831574	0.2406157188351391
0.4104593416750484	0.24143577186356993
0.42624623943178097	0.24207534353530916
0.4420331371885136	0.24294525089016586
0.45782003494524626	0.24384545882417794
0.47360693270197884	0.2446115141574204
0.4893938304587115	0.24550712333175537
0.5051807282154441	0.2464511151216785
0.5209676259721767	0.2473049830236559
0.5367545237289094	0.24829753493112924
0.552541421485642	0.24938952691868932
0.5683283192423747	0.25050879705802753
0.5841152169991073	0.2516383105300528
0.5999021147558399	0.25278425043542785
0.6156890125125726	0.2538630828403885
0.6314759102693052	0.2549272211435777
0.6472628080260378	0.2561810615606209
0.6630497057827704	0.2574577663230632
0.678836603539503	0.25903128026146105
0.6946235012962356	0.2601819752357874
0.7104103990529683	0.2615719737308896
0.7261972968097009	0.2629828915575387
0.7419841945664336	0.26457709963114123
0.7577710923231662	0.26600828160759304
0.7735579900798988	0.267824299706216
0.7893448878366315	0.26937078625500765
0.8051317855933641	0.27093471360613053
0.8209186833500968	0.27254271882720726
0.8367055811068294	0.27490570660149805
0.8524924788635619	0.27646816049471057
0.8682793766202946	0.2780812056557031
0.8840662743770272	0.2798488689593819
0.8998531721337598	0.28206507865919817
0.9156400698904925	0.28396182552204197
0.9314269676472251	0.2858226139047234
0.9472138654039577	0.2879720945670989
0.9630007631606904	0.2902476544140708
0.978787660917423	0.29258661405443387
0.9945745586741557	0.2947256951951925
1.0103614564308883	0.2972816232867789
1.0261483541876208	0.2994688099731482
1.0419352519443534	0.3018796487415157
1.0577221497010862	0.3045135889131167
1.0735090474578188	0.3069322281972171
1.0892959452145514	0.3099591023901779
1.105082842971284	0.3125375655118374
1.1208697407280166	0.3152939907808219
1.1366566384847494	0.3179942079599774
1.152443536241482	0.32126156772456854
1.1682304339982146	0.32401113841133816
1.1840173317549472	0.3274272861355782
1.1998042295116798	0.3303049148038854
1.2155911272684123	0.333522220040534
1.2313780250251452	0.3371764604731974
1.2471649227818777	0.34044995916467635
1.2629518205386103	0.34402599084345975
1.278738718295343	0.34763694319170285
1.2945256160520755	0.35153498438131425
1.3103125138088083	0.3549740390092362
1.326099411565541	0.3588904452460276
1.3418863093222735	0.36298503687026895
1.357673207079006	0.36706428890460935
1.3734601048357387	0.3716611346864753
1.3892470025924712	0.37578316124205796
1.405033900349204	0.3803350185935529
1.4208207981059366	0.3848453783176345
1.4366076958626692	0.3897514328934745
1.4523945936194018	0.39436676097656526
1.4681814913761344	0.39946425908217725
1.4839683891328672	0.40452637655520873
1.4997552868895998	0.4098546092741242
1.5155421846463324	0.4151713215719267
1.531329082403065	0.420814279583816
1.5471159801597976	0.42640878212519867
1.5629028779165304	0.43239189195935257
1.578689775673263	0.4383288959036484
1.5944766734299956	0.4445761276915158
1.6102635711867281	0.45087950160543794
1.6260504689434607	0.4575558149111454
1.6418373667001935	0.4643080913587781
1.6576242644569261	0.4714238126649343
1.6734111622136587	0.4785748996300157
1.6891980599703913	0.48663622629317277
1.7049849577271239	0.4940514919191543
1.7207718554838565	0.5017828102868421
1.7365587532405893	0.5103646743174507
1.7523456509973219	0.5186086859043335
1.7681325487540545	0.5273536854282747
1.783919446510787	0.5362017036069153
1.7997063442675196	0.5456413699450414
1.8154932420242524	0.5553371443906078
1.831280139780985	0.5654084063877004
1.8470670375377176	0.5755553843478781
1.8628539352944502	0.5863347555946236
1.8786408330511828	0.5972471304739753
1.8944277308079154	0.6090103734581125
1.9102146285646482	0.6212913459696192
1.9260015263213808	0.6333461199005735
1.9417884240781134	0.6463305775654686
1.957575321834846	0.6596124261590511
1.9733622195915785	0.6733660560627046
1.9891491173483113	0.6884956418128577
2.0049360151050437	0.7031221318603357
2.0207229128617765	0.7190947357967984
2.0365098106185093	0.7354579225775494
2.0522967083752417	0.7534251311480646
2.0680836061319745	0.7709312328796704
2.083870503888707	0.7900001200507316
2.0996574016454397	0.8097111101767048
2.1154442994021725	0.8313836291417598
2.131231197158905	0.8533667082183511
2.1470180949156377	0.8762239014341251
2.16280499267237	0.8999520634924771
2.178591890429103	0.9266192923840735
2.1943787881858356	0.9531879787504968
2.210165685942568	0.9818742577803589
2.225952583699301	1.0127204193964952
2.241739481456033	1.0449230053031524
2.257526379212766	1.0807152767135986
2.273313276969499	1.1168872753155996
2.289100174726231	1.1569331555510172
2.304887072482964	1.200054307280999
2.3206739702396963	1.2461190878371053
2.336460867996429	1.2958079780115421
2.3522477657531615	1.350447731879112
2.3680346635098943	1.4088006261693753
2.383821561266627	1.4714731801924288
2.3996084590233595	1.5416437608991669
2.4153953567800923	1.6201353553899112
2.4311822545368247	1.7054267357843127
2.4469691522935575	1.800029998809706
2.4627560500502903	1.906289572955588
