theta	R
0.0	0.7471124137911092
0.01578689775673263	0.7472516738447814
0.03157379551346526	0.7474082929780088
0.04736069327019789	0.74762283599644
0.06314759102693052	0.7478952250628212
0.07893448878366315	0.7482570908675317
0.09472138654039577	0.7490583276592856
0.1105082842971284	0.7495609097030842
0.12629518205386103	0.7501196166211792
0.14208207981059368	0.7507630016054732
0.1578689775673263	0.751911931742741
0.1736558753240589	0.7529189703709553
0.18944277308079155	0.7537572615608702
0.2052296708375242	0.7547811915681988
0.2210165685942568	0.7562253647305592
0.23680346635098942	0.7576575130280592
0.25259036410772207	0.7588078032880886
0.2683772618644547	0.7602632556055613
0.28416415962118735	0.7620543528334065
0.29995105737791994	0.7637560226203172
0.3157379551346526	0.7654019381877429
0.3315248528913852	0.767279894395644
0.3473117506481178	0.7694148879359717
0.36309864840485045	0.7714988284385011
0.3788855461615831	0.7736474340527344
0.39467244391831574	0.7760546848456875
0.4104593416750484	0.7784968083528014
0.42624623943178097	0.7808181188249461
0.4420331371885136	0.7834954707323116
0.45782003494524626	0.7864296938629384
0.47360693270197884	0.7890653274981647
0.4893938304587115	0.792086647329224
0.5051807282154441	0.7951324038587085
0.5209676259721767	0.7983337953123785
0.5367545237289094	0.8014997599959267
0.552541421485642	0.8051195331742104
0.5683283192423747	0.8084645597449392
0.5841152169991073	0.8122375760385108
0.5999021147558399	0.8159566024866464
0.6156890125125726	0.8197026554561105
0.6314759102693052	0.8238804722663733
0.6472628080260378	0.827956473693166
0.6630497057827704	0.8321493171251398
0.678836603539503	0.836761888388057
0.6946235012962356	0.8412170995949534
0.7104103990529683	0.8459243500507534
0.7261972968097009	0.8507724720035451
0.7419841945664336	0.8558450399928174
0.7577710923231662	0.8607075428108083
0.7735579900798988	0.8661369851373222
0.7893448878366315	0.8716774214229718
0.8051317855933641	0.8769690509607407
0.8209186833500968	0.8829357182079407
0.8367055811068294	0.8885945518114501
0.8524924788635619	0.8948535574382682
0.8682793766202946	0.9011899969453094
0.8840662743770272	0.9076170980604029
0.8998531721337598	0.9141307590429846
0.9156400698904925	0.9207889400663013
0.9314269676472251	0.9276712955569003
0.9472138654039577	0.934774773840386
0.9630007631606904	0.9422254570708758
0.978787660917423	0.9496277922958258
0.9945745586741557	0.957238180576866
1.0103614564308883	0.9656867541280368
1.0261483541876208	0.9734512001360422
1.0419352519443534	0.9820674523926598
1.0577221497010862	0.9905639715446494
1.0735090474578188	0.9990680196897893
1.0892959452145514	1.0083645323046746
1.105082842971284	1.0178506907817029
1.1208697407280166	1.0273946837441408
1.1366566384847494	1.0369752248711097
1.152443536241482	1.0471245556824655
1.1682304339982146	1.057622403607381
1.1840173317549472	1.0680864650158708
1.1998042295116798	1.0787102581969361
1.2155911272684123	1.090331502070422
1.2313780250251452	1.1020988575011317
1.2471649227818777	1.1139294208662314
1.2629518205386103	1.1258325509971723
1.278738718295343	1.1379840854278038
1.2945256160520755	1.1507738149029232
1.3103125138088083	1.163926422573573
1.326099411565541	1.1775597907343918
1.3418863093222735	1.1918963250747028
1.357673207079006	1.2058492856629879
1.3734601048357387	1.220478683015737
1.3892470025924712	1.2354221808775216
1.405033900349204	1.2510790870017325
1.4208207981059366	1.2668819060312788
1.4366076958626692	1.2837477329458884
1.4523945936194018	1.3003316576231951
1.4681814913761344	1.3178056561624263
1.4839683891328672	1.3358089786956167
1.4997552868895998	1.3539000079320307
1.5155421846463324	1.3735022686859826
1.531329082403065	1.3931236715041497
1.5471159801597976	1.4126145043430594
1.5629028779165304	1.4333799856443996
1.578689775673263	1.4544686604434198
1.5944766734299956	1.476327373329758
1.6102635711867281	1.4987985154790389
1.6260504689434607	1.5219660003267002
1.6418373667001935	1.5461116231897227
1.6576242644569261	1.570990104944108
1.6734111622136587	1.5961240913019106
1.6891980599703913	1.6230569033102946
1.7049849577271239	1.6500083365464726
1.7207718554838565	1.6775584851018568
1.7365587532405893	1.7064138030967162
1.7523456509973219	1.7363067141010566
1.7681325487540545	1.7673096983140475
1.783919446510787	1.7988323620252369
1.7997063442675196	1.8320266425693652
1.8154932420242524	1.8659817332568611
1.831280139780985	1.901058602138112
1.8470670375377176	1.9373149474159135
1.8628539352944502	1.9746678286037416
1.8786408330511828	2.014563828043102
1.8944277308079154	2.05513138834675
1.9102146285646482	2.0956433696888648
1.9260015263213808	2.1386774580911996
1.9417884240781134	2.1836610732950983
1.957575321834846	2.229768406845101
1.9733622195915785	2.277951785112624
1.9891491173483113	2.3278015793288325
2.0049360151050437	2.3792121566130433
2.0207229128617765	2.4333196320822834
2.0365098106185093	2.489017580163464
2.0522967083752417	2.5471178124079543
2.0680836061319745	2.607113361352752
2.083870503888707	2.669512315297999
2.0996574016454397	2.734526247413553
2.1154442994021725	2.802323758474045
2.131231197158905	2.872705026054745
2.1470180949156377	2.946920429906064
2.16280499267237	3.0227854239836525
2.178591890429103	3.102451061146808
2.1943787881858356	3.1855343516259573
2.210165685942568	3.272806692475696
2.225952583699301	3.3631683893709736
2.241739481456033	3.4583738790474188
2.257526379212766	3.5570424184172342
2.273313276969499	3.6607936056931694
2.289100174726231	3.769257221512384
2.304887072482964	3.8826457371614875
2.3206739702396963	4.00146227059953
2.336460867996429	4.126086257056655
2.3522477657531615	4.256954805675691
2.3680346635098943	4.394429888087835
2.383821561266627	4.538619164522296
2.3996084590233595	4.691129686679321
2.4153953567800923	4.850444227132015
2.4311822545368247	5.018257294367259
2.4469691522935575	5.1947887834141655
2.4627560500502903	5.382429786041279
2.4785429478070227	5.579365725958996
2.4943298455637555	5.787669555266387
