Title: The Initial Mass Function of the Orion Nebula Cluster 
       across the H-burning limit 
Authors: Da Rio N., Robberto M., Hillenbrand L.A., Henning T., Stassun K.G. 
Table: Table 3
================================================================================
Byte-by-byte Description of file: apj416802t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units      Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---        ID     Source identification number
   6-  7 I2     h          RAh    Hour of Right Ascension (J2000) 
   9- 10 I2     min        RAm    Minute of Right Ascension (J2000) 
  12- 16 F5.2   s          RAs    Second of Right Ascension (J2000) 
      18 A1     ---        DE-    Sign of the Declination (J2000)
  19- 20 I2     deg        DEd    Degree of Declination (J2000) 
  22- 23 I2     arcmin     DEm    Arcminute of Declination (J2000) 
  25- 28 F4.1   arcsec     DEs    Arcsecond of Declination (J2000)
  30- 34 F5.3   [K]        logT   Log of the effective temperature
  36- 40 F5.3   [K]      e_logT   Uncertainty in logT
  42- 47 F6.3   [solLum]   logL   Log of the bolometric luminosity
  49- 53 F5.3   [solLum] e_logL   Uncertainty in logL
  55- 60 F6.3   mag        AV     The V band extinction 
  62- 67 F6.3   mag      e_AV     Uncertainty in AV
      69 A1     ---      f_BMass  Approximate flag for BMass
  70- 74 F5.3   solMass    BMass  ? Mass using Baraffe et al. 1998 models
  76- 80 F5.3   solMass  e_BMass  ? Uncertainty in BMass
      82 A1     ---      l_logBA  Limit flag on logBA
  83- 87 F5.3   [yr]       logBA  ? Log age using Baraffe et al. 1998 models
  89- 93 F5.3   [yr]     e_logBA  ? Uncertainty in logBA
  95- 99 F5.3   solMass    DMass  ? Mass using D'Antona & Mazzitelli 1998 models
 101-105 F5.3   solMass  e_DMass  ? Uncertainty in DMass
 107-111 F5.3   [yr]       logDA  ? Log age using D'Antona & Mazzitelli 1998 models 
 113-117 F5.3   [yr]     e_logDA  ? Uncertainty in logDA
--------------------------------------------------------------------------------
   1 05 34 15.10 -05 23 00.0 3.522 0.010 -1.553 0.025  0.000  0.307  0.243 0.053  7.305 0.172 0.255 0.038 7.308 0.111
   2 05 34 17.26 -05 22 36.7 3.564 0.010 -1.565 0.046  0.770  0.238  0.481 0.028  8.235 0.175 0.447 0.034 8.196 0.297
   3 05 34 17.29 -05 22 48.0 3.492 0.001 -1.078 0.018  1.300  0.096  0.164 0.006  6.295 0.020 0.161 0.002 6.299 0.017
   4 05 34 20.57 -05 21 29.8 3.510 0.004 -2.312 0.036  0.971  0.187  0.168 0.014  8.090 0.105 0.185 0.014 8.260 0.216
   5 05 34 22.40 -05 22 26.9 3.477 0.002 -1.063 0.035  0.016  0.180 ~0.098       <6.          0.136 0.002 6.239 0.026
   6 05 34 18.37 -05 22 54.9 3.524 0.010 -2.068 0.043  0.051  0.375  0.230 0.053  8.030 0.264 0.244 0.041 8.135 0.294
   7 05 34 20.78 -05 23 29.1 3.530 0.002 -0.845 0.027  0.548  0.115  0.341 0.012  6.565 0.036 0.245 0.006 6.306 0.035
   8 05 34 24.78 -05 22 10.5 3.540 0.001 -0.643 0.021  0.266  0.086  0.429 0.011  6.470 0.024 0.275 0.006 6.142 0.025
   9 05 34 25.64 -05 21 57.6 3.484 0.001 -1.006 0.021  0.436  0.100  0.119 0.005  6.005 0.044 0.146 0.001 6.207 0.017
  10 05 34 26.51 -05 23 23.7 3.497 0.001 -0.502 0.013  0.836  0.055 ~0.161       <6.          0.147 0.001 5.182 0.027
  11 05 34 28.96 -05 23 48.1 3.492 0.001 -1.170 0.014  0.589  0.065  0.161 0.004  6.395 0.017 0.164 0.002 6.409 0.017
  12 05 34 29.46 -05 23 37.4 3.497 0.001 -1.231 0.012  0.051  0.052  0.171 0.004  6.525 0.014 0.175 0.002 6.531 0.017
  13 05 34 31.87 -05 20 48.7 3.543 0.016 -2.113 0.209  4.943  1.017  0.073              0.350       0.083       0.277
  14 05 34 31.15 -05 21 55.9 3.569 0.010 -0.442 0.048  1.566  0.237  0.745 0.113  6.680 0.084 0.415 0.040 6.132 0.028
  15 05 34 32.66 -05 21 07.5 3.560 0.010 -0.541 0.054  0.663  0.279  0.634 0.108  6.675 0.084 0.391 0.050 6.216 0.025
  16 05 34 33.56 -05 22 08.8 3.500 0.001 -0.800 0.013  1.323  0.065  0.205 0.012  6.095 0.026 0.166 0.002 6.077 0.011
  17 05 34 33.60 -05 23 10.2 3.750 0.010  0.195 0.028  0.734  0.094  1.139 0.034  7.460 0.007 1.188 0.034 7.190 0.064
  18 05 34 36.44 -05 21 45.9 3.540 0.004 -2.360 0.045  1.203  0.208                                                  
  19 05 34 30.47 -05 21 55.9 3.495 0.001 -1.281 0.014  0.795  0.060  0.158 0.004  6.535 0.017 0.172 0.002 6.577 0.020
  20 05 34 40.62 -05 21 01.9 3.495 0.005 -2.305 0.048  1.218  0.281  0.122 0.014  7.755 0.093 0.138 0.019 7.888 0.097
  21 05 34 40.87 -05 22 42.3 3.609 0.010  0.253 0.068  1.155  0.305  1.245 0.085  6.125 0.037 0.396 0.035 5.419 0.117
  22 05 34 41.95 -05 21 32.1 3.488 0.001 -1.128 0.012  1.242  0.069  0.149 0.005  6.300 0.013 0.156 0.002 6.344 0.011
  23 05 34 41.63 -05 23 57.5 3.492 0.001 -0.860 0.011  0.803  0.061  0.145 0.003  6.005 0.007 0.154 0.001 6.105 0.009
