ID	Chord	r14	RA	Dec	Dprime	PA	Dprime_HA	r14_HA	VicR14	rAU
176-252	0.119471180634	3.84261636007	5:35:17.641	-5:22:51.48	35.9592624353	29.2690027106	--	--	--	25.6863038364
189-329	0.140794224612	4.5284409849	5:35:18.8795	-5:23:28.82	36.5668000502	99.3991034189	--	--	--	30.2707582916
170-400	0.29479768346	9.48173773256	5:35:16.9535	-5:23:59.55	37.4230608759	168.730166937	--	--	--	63.3815019438
179-354	0.120117904457	3.86341728904	5:35:17.965	-5:23:53.53	37.9994898857	143.844650843	--	--	--	25.8253494583
139-320	0.150741551918	4.84838226649	5:35:13.9075	-5:23:20.045	38.2771290438	274.199809704	--	--	--	32.4094336624
174-400	0.294797590846	9.48173475379	5:35:17.3775	-5:24:00.29	39.8504791104	159.975997997	--	--	--	63.381482032
142-301	0.967977868833	31.1335970334	5:35:14.1165	-5:23:00.71	41.459036843	302.274726344	--	--	--	208.115241799
168-404	0.300170908436	9.65455968084	5:35:16.758	-5:24:04.305	41.6886704111	173.949648739	--	--	--	64.5367453137
166-406	0.183610658432	5.90556916095	5:35:16.569	-5:24:06.1	43.2799924768	177.918900161	--	--	--	39.4762915629
181-247	0.303082830981	9.74821742451	5:35:18.084	-5:22:46.9	43.3331964237	33.9442221803	--	--	--	65.162808661
181-401	0.135880727889	4.3704055257	5:35:18.0645	-5:24:01.23	45.2169839779	148.084746004	--	--	--	29.2143564962
154-240	0.605671467106	19.4805397919	5:35:15.374	-5:22:39.66	46.1530184606	339.352492803	--	--	--	130.219365428
191-350	0.515367606506	16.5760477606	5:35:19.075	-5:23:49.68	47.3345320128	124.531172	--	--	--	110.804035399
165-235S	0.438706837084	14.1103658682	5:35:16.4725	-5:22:35.255	47.593733599	0.157230005023	--	--	--	94.3219699731
165-235N	0.134406091084	4.32297598258	5:35:16.4835	-5:22:34.97	47.8794624409	0.352875196377	--	--	--	28.897309583
173-236	0.521743596411	16.781122181	5:35:17.349	-5:22:35.5	49.159507338	15.6003588897	--	--	--	112.174873228
190-251	0.137942211366	4.43671013649	5:35:19.0345	-5:22:50.465	50.2251157687	49.8522092634	--	--	--	29.6575754436
167-231	0.328548790805	10.567292898	5:35:16.728	-5:22:31.18	51.8190317547	4.36755966222	--	--	--	70.6379900231
174-414	0.269543029643	8.66945860876	5:35:17.385	-5:24:13.97	52.9402401377	164.938002454	--	--	--	57.9517513732
159-418	0.314236558488	10.1069608099	5:35:15.8965	-5:24:17.87	55.6697303594	188.752413361	--	--	--	67.5608600749
133-353	0.199568103726	6.41881712607	5:35:13.2955	-5:23:53.055	56.1336398771	237.443857624	--	--	--	42.9071423011
150-231	0.198220356304	6.37546879497	5:35:15.0175	-5:22:30.83	56.3241570027	337.45143637	--	--	--	42.6173766053
182-413	0.998949554779	32.1297561613	5:35:18.2155	-5:24:13.155	56.7015784227	152.525588544	56.7	36.9	48.7	214.774154278
204-330	0.11	3.53798964204	5:35:20.42	-5:23:29.655	59.4720019307	96.5725559439	--	--	--	23.6499999999
154-225	0.180321486647	5.79977774543	5:35:15.362	-5:22:25.15	59.9986653263	344.083616824	--	--	--	38.7691196291
205-330	0.310359490752	9.98226057811	5:35:20.4725	-5:23:29.725	60.2588812962	96.5533700094	--	--	--	66.7272905116
