beta	i	thpar	thperp	rpar	rperp	
1.000e-07	0.000e+00	0.000e+00	1.571e+00	1.000e+00	1.733e+00	
1.000e-07	7.687e-03	1.425e-02	1.571e+00	1.000e+00	1.733e+00	
1.000e-07	1.537e-02	2.597e-02	1.571e+00	1.000e+00	1.733e+00	
1.000e-07	2.306e-02	3.862e-02	1.571e+00	1.000e+00	1.733e+00	
1.000e-07	3.075e-02	5.133e-02	1.572e+00	1.000e+00	1.733e+00	
1.000e-07	3.844e-02	6.412e-02	1.572e+00	1.000e+00	1.733e+00	
1.000e-07	4.612e-02	7.693e-02	1.572e+00	1.001e+00	1.734e+00	
1.000e-07	5.381e-02	8.973e-02	1.573e+00	1.001e+00	1.734e+00	
1.000e-07	6.150e-02	1.026e-01	1.574e+00	1.001e+00	1.735e+00	
1.000e-07	6.919e-02	1.154e-01	1.575e+00	1.002e+00	1.735e+00	
1.000e-07	7.687e-02	1.282e-01	1.575e+00	1.002e+00	1.736e+00	
1.000e-07	8.456e-02	1.410e-01	1.576e+00	1.002e+00	1.736e+00	
1.000e-07	9.225e-02	1.539e-01	1.577e+00	1.003e+00	1.737e+00	
1.000e-07	9.993e-02	1.667e-01	1.579e+00	1.003e+00	1.738e+00	
1.000e-07	1.076e-01	1.795e-01	1.580e+00	1.004e+00	1.739e+00	
1.000e-07	1.153e-01	1.924e-01	1.581e+00	1.004e+00	1.740e+00	
1.000e-07	1.230e-01	2.052e-01	1.583e+00	1.005e+00	1.741e+00	
1.000e-07	1.307e-01	2.180e-01	1.584e+00	1.006e+00	1.742e+00	
1.000e-07	1.384e-01	2.309e-01	1.586e+00	1.006e+00	1.743e+00	
1.000e-07	1.461e-01	2.437e-01	1.587e+00	1.007e+00	1.744e+00	
1.000e-07	1.537e-01	2.566e-01	1.589e+00	1.008e+00	1.745e+00	
1.000e-07	1.614e-01	2.694e-01	1.591e+00	1.009e+00	1.747e+00	
1.000e-07	1.691e-01	2.823e-01	1.593e+00	1.010e+00	1.748e+00	
1.000e-07	1.768e-01	2.952e-01	1.595e+00	1.011e+00	1.749e+00	
1.000e-07	1.845e-01	3.080e-01	1.597e+00	1.011e+00	1.751e+00	
1.000e-07	1.922e-01	3.209e-01	1.600e+00	1.012e+00	1.753e+00	
1.000e-07	1.999e-01	3.338e-01	1.602e+00	1.013e+00	1.754e+00	
1.000e-07	2.076e-01	3.467e-01	1.604e+00	1.015e+00	1.756e+00	
1.000e-07	2.152e-01	3.596e-01	1.607e+00	1.016e+00	1.758e+00	
1.000e-07	2.229e-01	3.725e-01	1.610e+00	1.017e+00	1.760e+00	
1.000e-07	2.306e-01	3.854e-01	1.612e+00	1.018e+00	1.761e+00	
1.000e-07	2.383e-01	3.983e-01	1.615e+00	1.019e+00	1.763e+00	
1.000e-07	2.460e-01	4.112e-01	1.618e+00	1.021e+00	1.766e+00	
1.000e-07	2.537e-01	4.241e-01	1.621e+00	1.022e+00	1.768e+00	
1.000e-07	2.614e-01	4.370e-01	1.624e+00	1.023e+00	1.770e+00	
