beta	i	thpar	thperp	rpar	rperp	
1.000e-03	0.000e+00	0.000e+00	1.571e+00	1.000e+00	1.788e+00	
1.000e-03	6.701e-03	1.153e-02	1.571e+00	1.000e+00	1.788e+00	
1.000e-03	1.340e-02	2.307e-02	1.571e+00	1.000e+00	1.789e+00	
1.000e-03	2.010e-02	3.460e-02	1.571e+00	1.000e+00	1.789e+00	
1.000e-03	2.680e-02	4.613e-02	1.571e+00	1.000e+00	1.789e+00	
1.000e-03	3.351e-02	5.767e-02	1.572e+00	1.000e+00	1.789e+00	
1.000e-03	4.021e-02	6.921e-02	1.572e+00	1.001e+00	1.789e+00	
1.000e-03	4.691e-02	8.074e-02	1.573e+00	1.001e+00	1.790e+00	
1.000e-03	5.361e-02	9.228e-02	1.573e+00	1.001e+00	1.790e+00	
1.000e-03	6.031e-02	1.038e-01	1.574e+00	1.001e+00	1.791e+00	
1.000e-03	6.701e-02	1.154e-01	1.575e+00	1.002e+00	1.791e+00	
1.000e-03	7.371e-02	1.269e-01	1.575e+00	1.002e+00	1.792e+00	
1.000e-03	8.041e-02	1.384e-01	1.576e+00	1.002e+00	1.793e+00	
1.000e-03	8.712e-02	1.500e-01	1.577e+00	1.003e+00	1.793e+00	
1.000e-03	9.382e-02	1.615e-01	1.578e+00	1.003e+00	1.794e+00	
1.000e-03	1.005e-01	1.731e-01	1.579e+00	1.004e+00	1.795e+00	
1.000e-03	1.072e-01	1.846e-01	1.580e+00	1.004e+00	1.796e+00	
1.000e-03	1.139e-01	1.962e-01	1.582e+00	1.005e+00	1.797e+00	
1.000e-03	1.206e-01	2.078e-01	1.583e+00	1.005e+00	1.798e+00	
1.000e-03	1.273e-01	2.193e-01	1.584e+00	1.006e+00	1.799e+00	
1.000e-03	1.340e-01	2.309e-01	1.586e+00	1.007e+00	1.800e+00	
1.000e-03	1.407e-01	2.424e-01	1.587e+00	1.007e+00	1.801e+00	
1.000e-03	1.474e-01	2.540e-01	1.589e+00	1.008e+00	1.802e+00	
1.000e-03	1.541e-01	2.656e-01	1.591e+00	1.009e+00	1.804e+00	
1.000e-03	1.608e-01	2.772e-01	1.592e+00	1.009e+00	1.805e+00	
1.000e-03	1.675e-01	2.887e-01	1.594e+00	1.010e+00	1.806e+00	
1.000e-03	1.742e-01	3.003e-01	1.596e+00	1.011e+00	1.808e+00	
1.000e-03	1.809e-01	3.119e-01	1.598e+00	1.012e+00	1.809e+00	
1.000e-03	1.876e-01	3.235e-01	1.600e+00	1.013e+00	1.811e+00	
1.000e-03	1.943e-01	3.351e-01	1.602e+00	1.014e+00	1.813e+00	
1.000e-03	2.010e-01	3.467e-01	1.605e+00	1.015e+00	1.814e+00	
1.000e-03	2.077e-01	3.583e-01	1.607e+00	1.016e+00	1.816e+00	
1.000e-03	2.144e-01	3.699e-01	1.609e+00	1.017e+00	1.818e+00	
1.000e-03	2.211e-01	3.816e-01	1.612e+00	1.018e+00	1.820e+00	
1.000e-03	2.278e-01	3.932e-01	1.614e+00	1.019e+00	1.822e+00	
1.000e-03	2.345e-01	4.048e-01	1.617e+00	1.020e+00	1.824e+00	
1.000e-03	2.412e-01	4.164e-01	1.619e+00	1.021e+00	1.826e+00	
1.000e-03	2.479e-01	4.281e-01	1.622e+00	1.023e+00	1.828e+00	
1.000e-03	2.546e-01	4.397e-01	1.625e+00	1.024e+00	1.830e+00	
1.000e-03	2.613e-01	4.514e-01	1.628e+00	1.025e+00	1.833e+00	
1.000e-03	2.680e-01	4.630e-01	1.631e+00	1.027e+00	1.835e+00	
1.000e-03	2.747e-01	4.747e-01	1.633e+00	1.028e+00	1.838e+00	
1.000e-03	2.814e-01	4.864e-01	1.637e+00	1.029e+00	1.840e+00	
1.000e-03	2.881e-01	4.981e-01	1.640e+00	1.031e+00	1.843e+00	
1.000e-03	2.949e-01	5.098e-01	1.643e+00	1.032e+00	1.845e+00	
1.000e-03	3.016e-01	5.215e-01	1.646e+00	1.034e+00	1.848e+00	
1.000e-03	3.083e-01	5.332e-01	1.649e+00	1.035e+00	1.851e+00	
1.000e-03	3.150e-01	5.449e-01	1.653e+00	1.037e+00	1.854e+00	
1.000e-03	3.217e-01	5.566e-01	1.656e+00	1.039e+00	1.856e+00	
1.000e-03	3.284e-01	5.683e-01	1.660e+00	1.040e+00	1.859e+00	
1.000e-03	3.351e-01	5.801e-01	1.663e+00	1.042e+00	1.862e+00	
1.000e-03	3.418e-01	5.918e-01	1.667e+00	1.044e+00	1.866e+00	
1.000e-03	3.485e-01	6.035e-01	1.671e+00	1.046e+00	1.869e+00	
1.000e-03	3.552e-01	6.153e-01	1.675e+00	1.047e+00	1.872e+00	
1.000e-03	3.619e-01	6.271e-01	1.679e+00	1.049e+00	1.875e+00	
1.000e-03	3.686e-01	6.389e-01	1.682e+00	1.051e+00	1.879e+00	
1.000e-03	3.753e-01	6.507e-01	1.686e+00	1.053e+00	1.882e+00	
1.000e-03	3.820e-01	6.625e-01	1.691e+00	1.055e+00	1.886e+00	
1.000e-03	3.887e-01	6.743e-01	1.695e+00	1.057e+00	1.889e+00	
1.000e-03	3.954e-01	6.861e-01	1.699e+00	1.059e+00	1.893e+00	
1.000e-03	4.021e-01	6.979e-01	1.703e+00	1.062e+00	1.897e+00	
1.000e-03	4.088e-01	7.098e-01	1.708e+00	1.064e+00	1.901e+00	
1.000e-03	4.155e-01	7.216e-01	1.712e+00	1.066e+00	1.905e+00	
1.000e-03	4.222e-01	7.335e-01	1.716e+00	1.068e+00	1.909e+00	
1.000e-03	4.289e-01	7.454e-01	1.721e+00	1.071e+00	1.913e+00	
1.000e-03	4.356e-01	7.573e-01	1.725e+00	1.073e+00	1.917e+00	
1.000e-03	4.423e-01	7.692e-01	1.730e+00	1.075e+00	1.921e+00	
1.000e-03	4.490e-01	7.811e-01	1.735e+00	1.078e+00	1.926e+00	
1.000e-03	4.557e-01	7.930e-01	1.740e+00	1.080e+00	1.930e+00	
