beta	i	thpar	thperp	rpar	rperp	
1.000e-04	0.000e+00	0.000e+00	1.571e+00	1.000e+00	1.750e+00	
1.000e-04	7.253e-03	1.222e-02	1.571e+00	1.000e+00	1.750e+00	
1.000e-04	1.451e-02	2.442e-02	1.571e+00	1.000e+00	1.750e+00	
1.000e-04	2.176e-02	3.663e-02	1.571e+00	1.000e+00	1.750e+00	
1.000e-04	2.901e-02	4.885e-02	1.571e+00	1.000e+00	1.750e+00	
1.000e-04	3.627e-02	6.106e-02	1.572e+00	1.000e+00	1.750e+00	
1.000e-04	4.352e-02	7.327e-02	1.572e+00	1.001e+00	1.751e+00	
1.000e-04	5.077e-02	8.549e-02	1.573e+00	1.001e+00	1.751e+00	
1.000e-04	5.803e-02	9.770e-02	1.573e+00	1.001e+00	1.751e+00	
1.000e-04	6.528e-02	1.099e-01	1.574e+00	1.001e+00	1.752e+00	
1.000e-04	7.253e-02	1.221e-01	1.575e+00	1.002e+00	1.752e+00	
1.000e-04	7.979e-02	1.344e-01	1.576e+00	1.002e+00	1.753e+00	
1.000e-04	8.704e-02	1.466e-01	1.577e+00	1.003e+00	1.754e+00	
1.000e-04	9.429e-02	1.588e-01	1.578e+00	1.003e+00	1.755e+00	
1.000e-04	1.015e-01	1.710e-01	1.579e+00	1.004e+00	1.755e+00	
1.000e-04	1.088e-01	1.833e-01	1.580e+00	1.004e+00	1.756e+00	
1.000e-04	1.161e-01	1.955e-01	1.582e+00	1.005e+00	1.757e+00	
1.000e-04	1.233e-01	2.077e-01	1.583e+00	1.005e+00	1.758e+00	
1.000e-04	1.306e-01	2.200e-01	1.584e+00	1.006e+00	1.759e+00	
1.000e-04	1.378e-01	2.322e-01	1.586e+00	1.007e+00	1.760e+00	
1.000e-04	1.451e-01	2.445e-01	1.588e+00	1.007e+00	1.761e+00	
1.000e-04	1.523e-01	2.567e-01	1.589e+00	1.008e+00	1.763e+00	
1.000e-04	1.596e-01	2.690e-01	1.591e+00	1.009e+00	1.764e+00	
1.000e-04	1.668e-01	2.812e-01	1.593e+00	1.010e+00	1.765e+00	
1.000e-04	1.741e-01	2.935e-01	1.595e+00	1.010e+00	1.767e+00	
1.000e-04	1.813e-01	3.057e-01	1.597e+00	1.011e+00	1.768e+00	
1.000e-04	1.886e-01	3.180e-01	1.599e+00	1.012e+00	1.770e+00	
1.000e-04	1.958e-01	3.303e-01	1.601e+00	1.013e+00	1.771e+00	
1.000e-04	2.031e-01	3.425e-01	1.604e+00	1.014e+00	1.773e+00	
1.000e-04	2.103e-01	3.548e-01	1.606e+00	1.015e+00	1.775e+00	
1.000e-04	2.176e-01	3.671e-01	1.608e+00	1.016e+00	1.777e+00	
1.000e-04	2.249e-01	3.794e-01	1.611e+00	1.018e+00	1.778e+00	
1.000e-04	2.321e-01	3.917e-01	1.614e+00	1.019e+00	1.780e+00	
1.000e-04	2.394e-01	4.040e-01	1.616e+00	1.020e+00	1.782e+00	
1.000e-04	2.466e-01	4.163e-01	1.619e+00	1.021e+00	1.784e+00	
1.000e-04	2.539e-01	4.286e-01	1.622e+00	1.022e+00	1.787e+00	
1.000e-04	2.611e-01	4.410e-01	1.625e+00	1.024e+00	1.789e+00	
1.000e-04	2.684e-01	4.533e-01	1.628e+00	1.025e+00	1.791e+00	
1.000e-04	2.756e-01	4.656e-01	1.631e+00	1.027e+00	1.793e+00	
1.000e-04	2.829e-01	4.780e-01	1.634e+00	1.028e+00	1.796e+00	
1.000e-04	2.901e-01	4.903e-01	1.637e+00	1.030e+00	1.798e+00	
1.000e-04	2.974e-01	5.027e-01	1.641e+00	1.031e+00	1.801e+00	
1.000e-04	3.046e-01	5.150e-01	1.644e+00	1.033e+00	1.803e+00	
1.000e-04	3.119e-01	5.274e-01	1.648e+00	1.034e+00	1.806e+00	
1.000e-04	3.191e-01	5.398e-01	1.651e+00	1.036e+00	1.809e+00	
1.000e-04	3.264e-01	5.522e-01	1.655e+00	1.038e+00	1.812e+00	
1.000e-04	3.337e-01	5.646e-01	1.658e+00	1.039e+00	1.814e+00	
1.000e-04	3.409e-01	5.770e-01	1.662e+00	1.041e+00	1.817e+00	
1.000e-04	3.482e-01	5.894e-01	1.666e+00	1.043e+00	1.820e+00	
1.000e-04	3.554e-01	6.018e-01	1.670e+00	1.045e+00	1.824e+00	
1.000e-04	3.627e-01	6.143e-01	1.674e+00	1.047e+00	1.827e+00	
1.000e-04	3.699e-01	6.267e-01	1.678e+00	1.049e+00	1.830e+00	
