beta	i	thpar	thperp	rpar	rperp	
1.000e-01	0.000e+00	0.000e+00	1.571e+00	1.000e+00	2.509e+00	
1.000e-01	3.338e-03	8.137e-03	1.571e+00	1.000e+00	2.509e+00	
1.000e-01	6.677e-03	1.627e-02	1.571e+00	1.000e+00	2.509e+00	
1.000e-01	1.001e-02	2.441e-02	1.571e+00	1.000e+00	2.509e+00	
1.000e-01	1.335e-02	3.255e-02	1.571e+00	1.000e+00	2.509e+00	
1.000e-01	1.669e-02	4.069e-02	1.571e+00	1.000e+00	2.510e+00	
1.000e-01	2.003e-02	4.883e-02	1.571e+00	1.000e+00	2.510e+00	
1.000e-01	2.337e-02	5.697e-02	1.572e+00	1.000e+00	2.510e+00	
1.000e-01	2.671e-02	6.511e-02	1.572e+00	1.001e+00	2.511e+00	
1.000e-01	3.004e-02	7.325e-02	1.572e+00	1.001e+00	2.511e+00	
1.000e-01	3.338e-02	8.139e-02	1.573e+00	1.001e+00	2.512e+00	
1.000e-01	3.672e-02	8.954e-02	1.573e+00	1.001e+00	2.513e+00	
1.000e-01	4.006e-02	9.768e-02	1.573e+00	1.001e+00	2.514e+00	
1.000e-01	4.340e-02	1.058e-01	1.574e+00	1.001e+00	2.514e+00	
1.000e-01	4.674e-02	1.140e-01	1.574e+00	1.002e+00	2.515e+00	
1.000e-01	5.007e-02	1.221e-01	1.575e+00	1.002e+00	2.516e+00	
1.000e-01	5.341e-02	1.303e-01	1.575e+00	1.002e+00	2.517e+00	
1.000e-01	5.675e-02	1.384e-01	1.576e+00	1.002e+00	2.518e+00	
1.000e-01	6.009e-02	1.466e-01	1.576e+00	1.003e+00	2.520e+00	
1.000e-01	6.343e-02	1.547e-01	1.577e+00	1.003e+00	2.521e+00	
1.000e-01	6.677e-02	1.629e-01	1.578e+00	1.003e+00	2.522e+00	
1.000e-01	7.010e-02	1.711e-01	1.578e+00	1.004e+00	2.524e+00	
1.000e-01	7.344e-02	1.792e-01	1.579e+00	1.004e+00	2.525e+00	
1.000e-01	7.678e-02	1.874e-01	1.580e+00	1.004e+00	2.527e+00	
1.000e-01	8.012e-02	1.956e-01	1.581e+00	1.005e+00	2.528e+00	
1.000e-01	8.346e-02	2.038e-01	1.582e+00	1.005e+00	2.530e+00	
1.000e-01	8.680e-02	2.119e-01	1.582e+00	1.005e+00	2.532e+00	
1.000e-01	9.013e-02	2.201e-01	1.583e+00	1.006e+00	2.533e+00	
