beta	i	thpar	thperp	rpar	rperp	
1.000e-02	1.609e-01	2.985e-01	1.596e+00	1.011e+00	1.947e+00	
1.000e-02	1.664e-01	3.089e-01	1.598e+00	1.012e+00	1.948e+00	
1.000e-02	1.720e-01	3.192e-01	1.599e+00	1.013e+00	1.950e+00	
1.000e-02	1.775e-01	3.295e-01	1.601e+00	1.014e+00	1.952e+00	
1.000e-02	1.831e-01	3.399e-01	1.603e+00	1.014e+00	1.954e+00	
1.000e-02	1.886e-01	3.502e-01	1.605e+00	1.015e+00	1.956e+00	
1.000e-02	1.942e-01	3.606e-01	1.607e+00	1.016e+00	1.958e+00	
1.000e-02	1.997e-01	3.710e-01	1.609e+00	1.017e+00	1.960e+00	
1.000e-02	2.053e-01	3.813e-01	1.612e+00	1.018e+00	1.962e+00	
1.000e-02	2.108e-01	3.917e-01	1.614e+00	1.019e+00	1.964e+00	
1.000e-02	2.164e-01	4.021e-01	1.616e+00	1.020e+00	1.966e+00	
1.000e-02	2.219e-01	4.125e-01	1.618e+00	1.021e+00	1.969e+00	
1.000e-02	2.275e-01	4.229e-01	1.621e+00	1.023e+00	1.971e+00	
1.000e-02	2.330e-01	4.333e-01	1.623e+00	1.024e+00	1.974e+00	
1.000e-02	2.386e-01	4.437e-01	1.626e+00	1.025e+00	1.976e+00	
1.000e-02	2.441e-01	4.541e-01	1.628e+00	1.026e+00	1.979e+00	
1.000e-02	2.497e-01	4.645e-01	1.631e+00	1.027e+00	1.981e+00	
1.000e-02	2.552e-01	4.749e-01	1.634e+00	1.029e+00	1.984e+00	
1.000e-02	2.607e-01	4.854e-01	1.636e+00	1.030e+00	1.987e+00	
1.000e-02	2.663e-01	4.958e-01	1.639e+00	1.031e+00	1.990e+00	
1.000e-02	2.718e-01	5.063e-01	1.642e+00	1.032e+00	1.993e+00	
1.000e-02	2.774e-01	5.167e-01	1.645e+00	1.034e+00	1.996e+00	
1.000e-02	2.829e-01	5.272e-01	1.648e+00	1.035e+00	1.999e+00	
1.000e-02	2.885e-01	5.376e-01	1.651e+00	1.037e+00	2.002e+00	
1.000e-02	2.940e-01	5.481e-01	1.654e+00	1.038e+00	2.005e+00	
1.000e-02	2.996e-01	5.586e-01	1.657e+00	1.040e+00	2.009e+00	
1.000e-02	3.051e-01	5.691e-01	1.660e+00	1.041e+00	2.012e+00	
1.000e-02	3.107e-01	5.796e-01	1.663e+00	1.043e+00	2.015e+00	
1.000e-02	3.162e-01	5.901e-01	1.667e+00	1.044e+00	2.019e+00	
1.000e-02	3.218e-01	6.006e-01	1.670e+00	1.046e+00	2.023e+00	
1.000e-02	3.273e-01	6.112e-01	1.673e+00	1.048e+00	2.026e+00	
1.000e-02	3.329e-01	6.217e-01	1.677e+00	1.049e+00	2.030e+00	
1.000e-02	3.384e-01	6.323e-01	1.680e+00	1.051e+00	2.034e+00	
1.000e-02	3.440e-01	6.428e-01	1.684e+00	1.053e+00	2.038e+00	
1.000e-02	3.495e-01	6.534e-01	1.687e+00	1.055e+00	2.042e+00	
1.000e-02	3.551e-01	6.640e-01	1.691e+00	1.057e+00	2.046e+00	
1.000e-02	3.606e-01	6.746e-01	1.695e+00	1.059e+00	2.050e+00	
1.000e-02	3.662e-01	6.852e-01	1.698e+00	1.060e+00	2.054e+00	
1.000e-02	3.717e-01	6.958e-01	1.702e+00	1.062e+00	2.059e+00	
1.000e-02	3.773e-01	7.064e-01	1.706e+00	1.064e+00	2.063e+00	
1.000e-02	3.828e-01	7.170e-01	1.710e+00	1.066e+00	2.068e+00	
1.000e-02	3.883e-01	7.277e-01	1.714e+00	1.069e+00	2.072e+00	
1.000e-02	3.939e-01	7.384e-01	1.718e+00	1.071e+00	2.077e+00	
1.000e-02	3.994e-01	7.490e-01	1.722e+00	1.073e+00	2.082e+00	
1.000e-02	4.050e-01	7.597e-01	1.726e+00	1.075e+00	2.087e+00	
1.000e-02	4.105e-01	7.704e-01	1.730e+00	1.077e+00	2.092e+00	
1.000e-02	4.161e-01	7.811e-01	1.735e+00	1.080e+00	2.097e+00	
1.000e-02	4.216e-01	7.918e-01	1.739e+00	1.082e+00	2.102e+00	
1.000e-02	4.272e-01	8.026e-01	1.743e+00	1.084e+00	2.107e+00	
1.000e-02	4.327e-01	8.133e-01	1.748e+00	1.087e+00	2.113e+00	
1.000e-02	4.383e-01	8.241e-01	1.752e+00	1.089e+00	2.118e+00	
1.000e-02	4.438e-01	8.349e-01	1.757e+00	1.091e+00	2.124e+00	
1.000e-02	4.494e-01	8.457e-01	1.761e+00	1.094e+00	2.129e+00	
1.000e-02	4.549e-01	8.565e-01	1.766e+00	1.097e+00	2.135e+00	
1.000e-02	4.605e-01	8.673e-01	1.770e+00	1.099e+00	2.141e+00	
1.000e-02	4.660e-01	8.781e-01	1.775e+00	1.102e+00	2.147e+00	
1.000e-02	4.716e-01	8.890e-01	1.780e+00	1.105e+00	2.153e+00	
1.000e-02	4.771e-01	8.998e-01	1.785e+00	1.107e+00	2.159e+00	
1.000e-02	4.827e-01	9.107e-01	1.790e+00	1.110e+00	2.166e+00	
1.000e-02	4.882e-01	9.216e-01	1.794e+00	1.113e+00	2.172e+00	
