beta	i	thpar	thperp	rpar	rperp	
3.000e-01	0.000e+00	0.000e+00	1.571e+00	1.000e+00	3.733e+00	
3.000e-01	1.845e-03	6.801e-03	1.571e+00	1.000e+00	3.733e+00	
3.000e-01	3.691e-03	1.360e-02	1.571e+00	1.000e+00	3.733e+00	
3.000e-01	5.536e-03	2.040e-02	1.571e+00	1.000e+00	3.733e+00	
3.000e-01	7.382e-03	2.720e-02	1.571e+00	1.000e+00	3.734e+00	
3.000e-01	9.227e-03	3.400e-02	1.571e+00	1.000e+00	3.734e+00	
3.000e-01	1.107e-02	4.081e-02	1.571e+00	1.000e+00	3.735e+00	
3.000e-01	1.292e-02	4.761e-02	1.571e+00	1.000e+00	3.735e+00	
3.000e-01	1.476e-02	5.441e-02	1.571e+00	1.000e+00	3.736e+00	
3.000e-01	1.661e-02	6.122e-02	1.572e+00	1.000e+00	3.737e+00	
3.000e-01	1.845e-02	6.802e-02	1.572e+00	1.000e+00	3.738e+00	
3.000e-01	2.030e-02	7.483e-02	1.572e+00	1.001e+00	3.739e+00	
3.000e-01	2.215e-02	8.164e-02	1.572e+00	1.001e+00	3.740e+00	
3.000e-01	2.399e-02	8.845e-02	1.572e+00	1.001e+00	3.741e+00	
3.000e-01	2.584e-02	9.526e-02	1.573e+00	1.001e+00	3.742e+00	
3.000e-01	2.768e-02	1.021e-01	1.573e+00	1.001e+00	3.744e+00	
3.000e-01	2.953e-02	1.089e-01	1.573e+00	1.001e+00	3.745e+00	
3.000e-01	3.137e-02	1.157e-01	1.573e+00	1.001e+00	3.747e+00	
3.000e-01	3.322e-02	1.225e-01	1.574e+00	1.001e+00	3.749e+00	
3.000e-01	3.506e-02	1.293e-01	1.574e+00	1.002e+00	3.750e+00	
3.000e-01	3.691e-02	1.362e-01	1.575e+00	1.002e+00	3.752e+00	
3.000e-01	3.875e-02	1.430e-01	1.575e+00	1.002e+00	3.754e+00	
3.000e-01	4.060e-02	1.498e-01	1.575e+00	1.002e+00	3.756e+00	
3.000e-01	4.244e-02	1.566e-01	1.576e+00	1.002e+00	3.759e+00	
3.000e-01	4.429e-02	1.635e-01	1.576e+00	1.003e+00	3.761e+00	
