beta	i	thpar	thperp	rpar	rperp	
1.000e-05	0.000e+00	0.000e+00	1.571e+00	1.000e+00	1.738e+00	
1.000e-05	7.512e-03	1.262e-02	1.571e+00	1.000e+00	1.738e+00	
1.000e-05	1.502e-02	2.512e-02	1.571e+00	1.000e+00	1.738e+00	
1.000e-05	2.253e-02	3.768e-02	1.571e+00	1.000e+00	1.738e+00	
1.000e-05	3.005e-02	5.024e-02	1.572e+00	1.000e+00	1.738e+00	
1.000e-05	3.756e-02	6.280e-02	1.572e+00	1.000e+00	1.738e+00	
1.000e-05	4.507e-02	7.536e-02	1.572e+00	1.001e+00	1.739e+00	
1.000e-05	5.258e-02	8.792e-02	1.573e+00	1.001e+00	1.739e+00	
1.000e-05	6.009e-02	1.005e-01	1.574e+00	1.001e+00	1.740e+00	
1.000e-05	6.760e-02	1.131e-01	1.574e+00	1.002e+00	1.740e+00	
1.000e-05	7.512e-02	1.256e-01	1.575e+00	1.002e+00	1.741e+00	
1.000e-05	8.263e-02	1.382e-01	1.576e+00	1.002e+00	1.741e+00	
