Proplyd	delta	R0/D	E(R0/D)	Rc/R0	E(Rc/R0)	dx	dy
LV2	-14.	0.238	0.003	1.471	0.211	20	20
LV3	-9.	0.344	0.004	1.642	0.048	20	20
LV4	-6.	0.187	0.003	1.925	0.062	20	20
LV5	14.	0.208	0.002	1.779	0.193	20	20
177-341	7.	0.130	5e-4	1.423	0.116	20	20
167-328	-28.	0.099	0.002	1.465	0.059	20	20
