  1 G000.1169-00.5703 17 48 07.01 -29 07 55.5 T                      Y  C  26.4   27  8.97  8.72   0.22 I
  2 G000.3100-01.0495 17 50 27.59 -29 12 46.8 T                      N  C   6.8  145 10.57 10.31   0.23 I
  3 G001.0563-00.1499 17 48 41.78 -28 06 37.8 T                      Y      6.2  200 11.14  9.8    1.22 H
  4 G001.2588-00.0780 17 48 53.40 -27 53 59.7 T                      N  C  10.2  215 12.28 11.22   0.96 FH
  5 G003.5118-00.0470 17 53 56.00 -25 56 50.3 T                      N      8.6  135 10.69  9.69   0.91 I
  6 G003.7391+00.1425 17 53 43.03 -25 39 19.2 T                      N      3.9   20 11.48  9.41   1.89 I
  7 G003.8417-01.0440 17 58 30.64 -26 09 49.1 T                      Y     12.6   25 10.22  9.87   0.31 FB
  8 G004.3087+00.2222 17 54 41.06 -25 07 25.6 T                      N     10.1  260 13.94 12.1    1.68 I
  9 G004.7315-00.3875 17 57 57.06 -25 03 53.6 T                      N  C  10.1  125 13.3  11.77   1.39 I
 10 G004.8449-00.9309 18 00 17.05 -25 14 14.7 T      HD314937        N      3.1  140  9.36  9.31   0.03 I
 11 G005.5941+00.7335 17 55 36.02 -23 45 21.8 T                      N      7.6  350  9.78  9.22   0.50 I
 12 G005.6985-00.6350 18 01 06.02 -24 21 34.4 T                      N     20.8  180 11.56  9.11   2.24 I
 13 G006.2812+23.5877 16 37 09.54 -10 34 01.5 V88    Zeta Oph        -    299.    30  2.59       -99.   I
 14 G006.2977-00.2012 18 00 40.59 -23 36 50.7 T                      N  C  24.   210 13.07 12.16   0.82 H
 15 G006.3600-00.1846 18 00 44.92 -23 33 06.3 T                      N      5.5  110  9.32  9.11   0.18 I
 16 G006.8933+00.0743 18 00 55.27 -22 57 36.9 T                      N  C  29.    65  8.73  8.36   0.33 I
 17 G007.5265-00.2652 18 03 33.49 -22 34 38.3 T                      N      4.1  350  9.06  8.11   0.86 I
 18 G008.3690+00.0239 18 04 15.53 -21 42 05.3 T                      N  C  27.    50  9.07  8.3    0.69 I
 19 G009.0177+00.1410 18 05 11.21 -21 04 43.3 T                      N      9.1  290  8.85  8.41   0.39 I
 20 G009.6852-00.2025 18 07 51.86 -20 39 48.8 T                      N      8.3  335 10.92  9.69   1.12 I
 21 G010.1395-00.0350 18 08 10.89 -20 11 06.4 T                      N     10.    20 10.34  9.58   0.69 FH
 22 G010.1641-00.0380 18 08 14.61 -20 09 54.2 T                      N      4.9   90 14.08 12.09   1.81 FH
 23 G010.2414-00.5411 18 10 14.55 -20 20 10.3 T                      N      5.6  245 11.64 10.23   1.28 FH
 24 G010.3576+00.1878 18 07 48.21 -19 53 10.4 T                      N      6.1  165 11.07  9.76   1.19 I
 25 G010.5863-00.4140 18 10 30.90 -19 58 39.4 T                      Y      7.8   35 12.94 10.29   2.42 FB
 26 G011.0709-00.5437 18 11 59.42 -19 36 55.4 T                      N      8.2   30  8.98  8.76   0.19 I
 27 G011.1189-00.5784 18 12 13.06 -19 35 23.9 T                      N      6.3   60  8.89  8.8    0.07 I
 28 G011.6548+00.4943 18 09 20.03 -18 36 11.5 T                      N     13.4  125  9.17  8.57   0.54 I
 29 G011.9160+00.7043 18 09 05.53 -18 16 22.7 T                      Y      9.2   85 11.88 11.21   0.60 I
 30 G011.9346+00.7785 18 08 51.41 -18 13 14.8 T                      N      4.7  175 12.16 10.39   1.61 FH
 31 G012.0200+00.8194 18 08 52.82 -18 07 34.5 T                      N     23.4  270  9.56  8.46   1.00 I
 32 G012.3407-00.3949 18 14 00.85 -18 25 47.3 T                      N  C   7.1   20 10.05  9.72   0.29 I
 33 G012.3661-00.1518 18 13 09.96 -18 17 27.9 T                      Y  C  13.1   55 12.34  9.88   2.25 I
 34 G012.6748+00.6519 18 10 49.61 -17 38 02.5 T                      N  C   4.1  335  9.83  9.12   0.64 FH
 35 G012.6765+00.6898 18 10 41.45 -17 36 51.3 T                      N     10.7   20 10.03  9.61   0.37 FH
 36 G012.8263-00.1278 18 14 00.28 -17 52 32.1 T                      Y      7.5  355 10.46  9.63   0.75 I
 37 G013.0398-00.2281 18 14 48.21 -17 44 09.6 T                      N  C   5.8   95 10.63 10.     0.57 I
 38 G013.2387+00.2138 18 13 34.47 -17 21 00.0 T                      N      5.1  255 12.7  10.59   1.92 I
 39 G013.4900+01.6618 18 08 46.51 -16 25 56.9 T                      12    73.   260  7.8   6.94   0.78 I
 40 G013.5120+00.2378 18 14 02.03 -17 05 54.8 T                      N      7.5  185 10.38  9.46   0.83 I
 41 G013.6983-00.1619 18 15 52.56 -17 07 32.2 T                      N  C   3.7  115 16.6  12.48   3.77 I
 42 G013.7085-00.2417 18 16 11.41 -17 09 16.7 T                      N  C   4.4  110       12.93 -99.   I
 43 G013.7925-00.2591 18 16 25.29 -17 05 20.5 T                      N      6.8   75  9.15  8.87   0.24 I
 44 G014.3151+00.1319 18 16 01.43 -16 26 36.0 T                      N     20.1  110 10.43  7.57   2.61 I
 45 G014.3196-00.1376 18 17 01.31 -16 34 03.2 T                      Y  C   4.3  245 10.38  9.78   0.54 I
 46 G014.4703-00.6427 18 19 10.60 -16 40 27.0 T                      Y     14.7  210  9.58  8.26   1.20 I
 47 G014.5184+00.2255 18 16 05.05 -16 13 11.9 T                      N      9.9   10  9.85  8.8    0.95 I
 48 G014.6202+00.8992 18 13 49.35 -15 48 32.5 T                      N  C   6.7  100  8.01  8.     0.00 I
 49 G014.6528-00.3700 18 18 32.06 -16 23 03.8 T                      N      6.1  230 10.93  9.59   1.22 I
 50 G014.6719-00.4770 18 18 57.91 -16 25 05.5 T                      Y      7.2  120  9.47  8.76   0.64 H
 51 G015.0749-00.6461 18 20 22.75 -16 08 34.2 P08-S1                 -      2.5  140  9.2   8.56   0.58 FH
 52 G015.0812-00.6570 18 20 25.91 -16 08 32.4 P08-S2                 -     14.5  135  8.2   7.5    0.63 FH
 53 G015.1032-00.6489 18 20 26.71 -16 07 09.1 P08-S3                 -      6.07 150  9.29  8.18   1.01 FH
 54 G015.0813-00.6570 18 05 58.84 -14 11 53.0 Pe12   HD165319        -  C  95.   260  6.45  6.06   0.35 I
 55 G015.2253+00.3578 18 16 59.88 -15 32 06.8 T                      N  C  18.   260 11.58 10.47   1.01 I
 56 G015.2977+00.3178 18 17 17.22 -15 29 25.8 T                      N  C  28.    20  8.95  8.58   0.33 I
 57 G015.3315-00.3692 18 19 52.02 -15 47 09.4 T                      Y      5.3  115 10.64  9.79   0.77 FH
 58 G015.3322-00.2538 18 19 26.74 -15 43 51.0 T                      N      6.5  175 10.58  9.89   0.62 I
 59 G015.8313-00.7623 18 22 17.11 -15 31 48.4 T                      N      4.7  260  9.98  9.12   0.78 I
 60 G016.4391-00.8109 18 23 38.70 -15 00 58.1 T                      N  C   9.7   15 10.36  9.32   0.94 I
 61 G016.8118+00.6679 18 18 58.73 -13 59 28.7 T      HD168183        N     23.1  355  7.44  7.34   0.08 FH
 62 G016.8760+00.6456 18 19 11.09 -13 56 43.0 T      BD-13 4936      N      5.5  345  8.43  6.79   1.49 FH
 63 G016.8930+00.6800 18 19 05.58 -13 54 50.6 T      BD-13 4934      Y      3.5  300  8.64  8.57   0.05 FH
 64 G016.8993-01.1152 18 25 38.90 -14 45 05.7 Pe15   BD-14 5040      -     24.   120  7.89  7.6    0.25 I
 65 G016.9278+00.6323 18 19 20.04 -13 54 21.3 T      BD-13 4937      N      4.2  330  9.52  9.28   0.21 FH
 66 G016.9848+01.7482 18 15 23.97 -13 19 35.3 GB08                   -     61.   320  7.68  7.25   0.38 I
 67 G017.0826+00.9744 18 18 23.65 -13 36 27.9 T      ALS 15348       Y      7.5  300  8.77  8.58   0.16 H
 68 G017.1263+01.0462 18 18 13.14 -13 32 07.0 T                      Y      1.9  145 10.89  8.89   1.82 FH
 69 G017.2748-00.4885 18 24 05.08 -14 07 36.5 T                      Y      7.6   40  9.19  8.95   0.21 I
 70 G017.7109-00.3881 18 24 33.59 -13 41 39.8 T                      Y      2.1   40 10.78  9.73   0.95 I
 71 G017.8231+00.4343 18 21 47.33 -13 12 34.7 T                      N      5.2  330 13.56 11.86   1.55 I
 72 G018.2660-00.2988 18 25 18.13 -13 09 43.0 T                      Y     15.2  330  9.77  9.23   0.48 FB
 73 G018.3242-00.9253 18 27 41.51 -13 24 08.7 T                      N      7.1   20 10.75  9.47   1.16 I
 74 G018.5647-00.5084 18 26 38.14 -12 59 43.8 T                      N      5.   230 12.05 10.52   1.39 I
 75 G018.6445-00.6650 18 27 21.43 -12 59 52.2 T                      N      2.8   90 13.56 11.27   2.09 I
 76 G018.9724+00.3004 18 24 29.04 -12 15 26.5 T                      N  C  22.1  110  8.24  7.66   0.52 I
 77 G019.0322+00.4252 18 24 08.83 -12 08 46.1 T                      N      6.9  140 10.41  9.23   1.07 I
 78 G019.0965-00.7074 18 28 22.32 -12 37 02.9 T                      N      6.5  280 11.44 10.58   0.78 FH
 79 G019.3616+00.4490 18 24 41.48 -11 50 37.9 T                      N      5.6  325 13.15 11.77   1.25 I
 80 G019.7159-00.2596 18 27 55.07 -11 51 39.1 T                      N      9.6  200 12.56 11.41   1.04 I
 81 G019.7211-00.2822 18 28 01.02 -11 52 00.3 T                      N      3.1  210 13.12 11.42   1.55 FB
 82 G019.7815+00.2865 18 26 04.07 -11 32 54.5 T                      Y      7.2  335       10.78 -99.   I
 83 G019.8107+00.0965 18 26 49.02 -11 36 42.5 T                      Y      5.6   69 11.31 10.51   0.72 I
 84 G019.8405+00.2998 18 26 08.06 -11 19 24.2 T                      N      8.7  100 12.12 10.76   1.24 I
 85 G019.8414+00.0494 18 27 02.10 -11 36 21.5 T                      Y      6.   103  9.47  9.16   0.27 I
 86 G019.9660+00.4735 18 25 45.03 -11 17 52.9 T                      N      3.2   25             -99.   I
 87 G020.0985-00.7442 18 30 24.05 -11 44 45.3 T                      N     11.2   70 12.35 10.29   1.88 I
 88 G020.3592+00.1900 18 27 31.05 -11 04 56.1 T                      N  C   5.4  170 13.62 12.1    1.38 I
 89 G021.3962-00.6159 18 32 23.04 -10 32 13.1 T                      N      4.1  110 10.68 10.29   0.35 I
 90 G021.4977-00.4628 18 32 01.08 -10 22 34.4 T                      N      6.1   20 13.9  11.51   2.18 FB
 91 G021.5562+00.2488 18 29 34.06 -09 59 41.7 T                      N      7.4   55  9.93  8.93   0.91 I
 92 G021.7243-00.1543 18 31 20.06 -10 01 57.6 T                      N      6.6   55 11.44 10.76   0.61 I
 93 G022.0817+00.5951 18 29 19.00 -09 22 07.5 T                      N      5.2  100 12.75 11.56   1.08 I
 94 G022.2601+00.6640 18 29 24.05 -09 10 43.6 T                      N     10.8  265 11.65 10.53   1.02 I
 95 G022.4107+00.0403 18 31 55.09 -09 20 02.6 T                      N      3.1  130 12.88 10.93   1.78 I
 96 G022.4119-00.2010 18 32 48.01 -09 26 40.1 T                      N     10.1   55 11.24  9.05   2.00 I
 97 G022.4494+00.6869 18 29 40.09 -09 00 01.6 T                      N      5.8  210 11.5  10.5    0.91 I
 98 G022.4699+00.1069 18 31 48.02 -09 15 02.8 T                      N      3.8  285 11.77 10.91   0.78 I
 99 G022.9084-00.0552 18 33 12.03 -08 56 12.2 T                      N     17.7   35 11.27  9.44   1.67 I
100 G023.0958+00.4411 18 31 46.05 -08 32 28.7 T                      N      6.7  290  9.83  9.16   0.60 I
101 G023.1100+00.5458 18 31 25.05 -08 28 49.1 T                      Y     12.7  305  8.98  8.56   0.37 H
102 G023.3731+00.4508 18 32 15.05 -08 17 27.3 T                      N  C   6.8   20 13.65 10.95   2.47 H
103 G023.7793-00.7918 18 37 28.04 -08 30 09.2 T                      N      3.4  225 12.49 10.82   1.52 I
104 G023.8120+00.7307 18 32 04.04 -07 46 20.5 T                      N      6.3  215 10.48  9.73   0.68 I
105 G023.9034+00.0682 18 34 37.01 -07 59 48.8 T                      Y      3.3  125 14.96 11.96   2.74 H
106 G023.9064-00.2380 18 35 43.03 -08 08 06.6 T                      N      2.9   20 13.09 10.92   1.98 I
107 G024.0594-00.7990 18 38 01.02 -08 15 25.2 T                      N      3.1   65 10.6   9.83   0.69 I
108 G024.0810+00.1233 18 34 45.00 -07 48 49.9 T                      N      9.6  125 12.68 10.86   1.66 I
109 G024.1355+00.1222 18 34 51.03 -07 45 57.6 T                      Y     12.3  195       11.18 -99.   H
110 G024.1368+00.4279 18 33 45.08 -07 37 26.3 T                      N  C  19.7  115 13.25 10.64   2.38 H
111 G024.2512+00.7906 18 32 40.07 -07 21 18.6 T                      N     58.   355  8.41  7.6    0.73 I
112 G024.2720+00.0767 18 35 16.03 -07 39 56.8 T                      N      6.5   55 14.09 11.13   2.70 I
113 G025.4379-00.3288 18 37 02.00 -07 42 17.7 T                      N      7.5  290 11.12  9.82   1.18 I
114 G024.5665+00.9295 18 32 46.01 -07 00 41.0 T                      N      6.7  200  9.49  9.22   0.24 I
115 G024.6990+00.1167 18 35 55.03 -07 16 05.7 T                      Y      6.5   50 13.16 10.81   2.14 FH
116 G024.9069+00.4487 18 35 07.02 -06 55 51.2 T                      N      4.9  140 11.66 10.88   0.70 H
117 G025.2496+00.3842 18 35 59.00 -06 39 22.7 T                      N  C   4.1  125       10.63 -99.   FH
118 G025.3172-00.4350 18 39 02.01 -06 58 20.7 T                      N     10.4  190 10.79  9.84   0.86 I
119 G025.4439+00.2619 18 36 46.09 -06 32 23.9 T                      N      7.5  220  9.82  9.37   0.40 FH
120 G025.4535-00.1837 18 38 23.06 -06 44 09.8 T                      N      5.2  180 11.25 10.23   0.92 I
121 G025.4711-00.1248 18 38 12.09 -06 41 36.2 T                      N  C   7.2  290 11.95 11.11   0.76 I
122 G025.7870+00.3100 18 37 14.07 -06 12 47.3 T                      N      5.5   65 12.42 10.96   1.33 FH
123 G026.1437-00.0420 18 39 09.07 -06 03 27.8 T                      Y  C  22.1   50  9.95  7.78   1.98 I
124 G026.5272+00.3808 18 38 21.05 -05 31 22.9 T                      Y      7.8  240 11.14  9.79   1.23 I
125 G026.6098+00.3065 18 38 46.05 -05 29 01.4 T                      N     15.3  225 11.35 10.46   0.80 I
126 G026.6435-00.0209 18 40 06.08 -05 37 02.9 T                      N      6.8  305 14.32 11.45   2.62 I
