Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	H_d_out	H_d_in	R0_g	Peak24	Contrast	Rating	Comment
13	G006.2812+23.5877	16	37	9.54	-	10	34	1.5	V88	Zeta Oph	-		299.0	30	2.59		-99.0	I																										0	
14	G006.2977-00.2012	18	0	40.59	-	23	36	50.7	T		N	C	24.0	210	13.07	12.16	0.82	H	27.945188312471988	1.3022937002211719	295.0925594186939	85.0925594186939	27.687628000162686	1.0529605787288445	37.93274994096954	3.854433224141702	33.111693951874834	0.0	53.131188030332225	-72.89494390549339	36.50432349189589	-66.6135565817514	116.03798722685724	-118.29384331845974	-6.616912310297017	130.2026739647057	25.574915097380973	17.470891405996255	-18.587435305940815	36.05832671193707	27.66879134603505	46.23052344134016	0.64432988385857	4	
15	G006.3600-00.1846	18	0	44.92	-	23	33	6.3	T		N		5.5	110	9.32	9.11	0.18	I	7.528291044854245	0.6283190604331913	109.78575524020859	-0.21424475979141278	15.88783321713966	0.9038460371836765	9.90204436524015	1.1625240505836396	13.509025655110964	1.87021899552655	112.3290016483171	-87.53194945939146	46.383797776509255	-56.12258613762478	nan	-120.73959865479827	0.0	141.0	7.4819179185741875	16.43799484288352	-2.974113118468301	19.41210796135182	6.962333878973503	15.723310744720951	0.1553152802796905	1	
16	G006.8933+00.0743	18	0	55.27	-	22	57	36.9	T		N	C	29.0	65	8.73	8.36	0.33	I	30.556008709680853	0.1541502477143304	49.0110555541066	-15.988944445893402	117.78258320517254	0.8770868040444376	69.1227311993225	2.2739357976836914	50.944394979453996	3.2612959581273255	37.84872682031198	-78.55684318732034	22.509592701034975	-51.4687623201373	69.75881346891498	-115.40081014129282	-22.85381262167349	119.97213141399469	28.35093662305212	23.54558793188514	-18.252521430389244	41.79810936227439	31.39764593625465	61.35451822074653	0.8600385070467128	5	
17	G007.5265-00.2652	18	3	33.49	-	22	34	38.3	T		N		4.1	350	9.06	8.11	0.86	I	5.260066387041963	1.513544538693352	50.98164596703824	60.98164596703822	6.896010931276998	1.2259646713802008	4.6878106291894355	0.4680612667494901	11.575013510941266	0.35154230120722774	114.68433613315446	-106.79403617130569	72.1403164668385	-11.747478633434241	nan	nan	0.0	141.0	8.956696691938603	13.281058423312835	-0.3294940944252005	13.610552517738036	-4.935007225279256	1.9068904813036742	0.0378522321117906	2	
18	G008.3690+00.0239	18	4	15.53	-	21	42	5.3	T		N	C	27.0	50	9.07	8.3	0.69	I	27.97325420371143	0.1593996096507091	43.5417649222234	-6.4582350777765996	37.750762103829786	0.46262335972765906	50.76653417523777	4.285930758799283	47.71125222234226	4.446736905322062	69.38732307469549	-69.49485616400904	55.93284632002913	-50.15274720254092	97.61130360792467	-94.04539086981885	-2.258534738554116	134.7863591861805	19.957753822927916	16.968562330020866	-19.539262189124372	36.50782451914524	28.31987603733258	110.56091306555895	1.3151004374939053	5	
19	G009.0177+00.1410	18	5	11.21	-	21	4	43.3	T		N		9.1	290	8.85	8.41	0.39	I	9.156749753363382	0.5178224694828009	259.7481934041745	-30.251806595825485	13.928874342679789	0.3920701189453246	17.014681672943055	0.9422692915997428	16.37532633146606	1.4385844185777537	83.78330179359455	-78.59917547191955	41.052832892289985	-49.70523814625716	118.77523771780949	-124.85602353257795	-0.37187661554886303	167.7231247938203	17.322492535453677	16.23741576028312	-2.292931123250309	18.530346883533426	8.716322428299696	21.72049939328815	0.58401959440541	4	improved
20	G009.6852-00.2025	18	7	51.86	-	20	39	48.8	T		N		8.3	335	10.92	9.69	1.12	I	9.811479468001638	0.42516259949221047	340.9713772761759	5.971377276175872	15.221174466812137	0.49899523920915395	15.121461416040017	3.999183995535647	15.908097410965295	1.4778177721161798	73.71535116483051	-75.48438801793088	16.26528070679774	-50.22336556947198	86.10943939181709	-117.69512546573245	-4.330253584079579	137.66392479952157	14.202256400088848	11.764611586233121	-2.7799436399346504	14.544555226167772	10.301212567890069	14.019602580919232	0.36744809122071437	4	improved
21	G010.1395-00.0350	18	8	10.89	-	20	11	6.4	T		N		10.0	20	10.34	9.58	0.69	FH	12.361705003586287	0.23716094488037126	41.74701914909371	21.74701914909371	18.342514521591035	0.5866418928921303	16.210441489423705	1.3564992636839481	25.68740798923428	4.253614443536919	93.44309746238459	-78.66022844699859	29.774540620371155	-48.44560815174361	137.71338083841482	-97.33278813026101	20.110121001979206	539.2242580605072	18.81351475281211	19.946778420867695	-3.9976339672317955	23.944412388099487	10.992268756386428	40.145505495472385	0.7082310488442035	4	
22	G010.1641-00.0380	18	8	14.61	-	20	9	54.2	T		N		4.9	90	14.08	12.09	1.81	FH	4.763132963906466	0.549806610981415	47.525062440177074	-42.474937559822926	5.824909941453284	1.0156637635134125	10.178468273859462	0.8479604138643181	8.837137432149122	3.432320100586016	86.21320662081547	-128.80041938826622	55.95822172522679	-31.675672344587404	nan	nan	0.0	141.0	9.57191220849473	18.45348822793759	4.756115375233678	13.69737285270391	4.90651913193158	12.894249970194268	0.1966533105778501	2	improved
