Seq	Peak24	E Peak24	Contrast	E Contrast	Rating	log Pi	E log Pi	e log Pi	E e log Pi	log Lam	E log Lam	e log Lam	E e log Lam	d log Lam	E d log Lam	log R0	E log R0	d log R0	E d log R0	log H	E log H	e log H	E e log H	log h	E log h	e log h	E e log h	log Hin	E log Hin	e log Hin	E e log Hin	log hin	E log hin	e log hin	E e log hin	breadth50	E breadth50	d_breadth50	E d_breadth50	log s	E log s	e log s	E e log s	log S	E log S	e log S	E e log S	log ss	E log ss	e log ss	E e log ss	log SS	E log SS	e log SS	E e log SS	core_bratio	E core_bratio	wing_bratio	E wing_bratio
1	122.38243082742821	0.0	0.3027155719594671	0.0	4.0	0.1479684914603817	0.06031798052641861	0.014049062615604804	0.0012409923733746138	0.2124484333311136	0.0	0.034859005899973386	0.0	0.04156579994740127	0.0	1.4845114982521332	0.0	0.002911031887432903	0.0	-0.13113805088089844	0.0	0.01927761582633565	0.0	1.3533734473712349	0.0	0.01905655701584459	0.0	-0.10131762862009637	0.0	0.004462394341860197	0.0	1.383193869632037	0.0	0.003382137876050404	0.0	77.82258834962042	0.0	5.511599931506304	0.0	1.6634851346631605	0.019911471462595743	0.03649755043968405	0.002518238794694912	0.17897363641102726	0.01991147146259572	0.03661381248776754	0.0025104922651547268	1.6890462877313508	0.0	0.0579052900095001	0.0	0.20453478947921758	0.0	0.05797841596433939	0.0	0.46592412789832277	0.014895412085739095	1.6822893541674633	0.07509374554935788
2	18.728535145793497	0.0	0.053391135994371536	0.0	3.0	0.1315040525172252	0.05072930724067307	0.03234667134641214	0.004136409848879205	-0.022671571346819696	0.0	0.038675494373121976	0.0	-0.04806380389738996	0.0	1.1508784195336255	0.0	0.018170823304308345	0.0	0.3894615197029067	0.0	0.11825471125000087	0.0	1.5403399392365322	0.0	0.11685032269217183	0.0	-0.17003499643476971	0.0	0.14770886049628898	0.0	0.980843423098856	0.0	0.146586932055882	0.0																								
3	19.08607387927644	0.0	0.02682324032669255	0.0	0.0	0.6239291483132345	0.32112803354309544	0.04091737338852832	0.007550210532738809	0.22005954115502463	0.0	0.05521721301413401	0.0	-0.17066411799497697	0.0	0.8560106714767574	0.0	0.0344548710396579	0.0	0.2537408729447449	0.0	0.21986373596221578	0.0	1.1097515444215023	0.0	0.2171472409516259	0.0	0.26478000895046006	0.0	0.21986373596221578	0.0	1.1207906804272174	0.0	0.2171472409516259	0.0																								
4	34.77325476220037	0.0	0.0933227259092762	0.0	3.0	0.4028950881641616	0.024320749259419367	0.016901297737909552	0.0012239178583408452	0.2411248056110551	0.0	0.04865612024204801	0.0	0.07637839898568953	0.0	1.096333368397157	0.0	0.011970623672521765	0.0	0.09399230502114576	0.0	0.01816544628042981	0.0	1.190325673418303	0.0	0.0136633673542814	0.0	0.14952103447728124	0.0	0.018449824743767385	0.0	1.2458544028744383	0.0	0.014039237941091845	0.0	92.63834116312962	0.0	0.6465684323100831	0.0	1.4853594075439165	0.011857556419310241	0.005238233267235038	0.00015936054259496076	0.38902603914675954	0.011857556419310192	0.013067102200089012	6.351557162621196e-05	1.43661254595804	0.0	0.04167746768023872	0.0	0.3402791775608831	0.0	0.04336250849923793	0.0	0.4492339851777154	0.008337146657190361	1.992005478151724	0.039199245188997166
5	2.4095689832846037	0.0	0.006884523946579831	0.0	3.0	0.28918181542081095	0.06733944876163221	0.029219380466705334	0.003163253430421083	0.19243449191596604	0.0	0.0420841556949133	0.0	0.1003808591381871	0.0	0.9678066133726015	0.0	0.02281977273019746	0.0	0.20409064190664794	0.0	0.08953005229054332	0.0	1.1718972552792495	0.0	0.08657302256297605	0.0	0.21642270071650557	0.0	0.09306956664460307	0.0	1.1842293140891071	0.0	0.09022861080586551	0.0	131.30044449864997	0.0	1.03088941463605	0.0	1.5402598053638117	0.052614632438417484	0.0054738947165366356	0.0004506379457675792	0.5724531919912103	0.0526146324384175	0.02346984654069741	0.00010419131788774193	1.6666217401948211	0.0	0.10662571556875144	0.0	0.6988151268222196	0.0	0.10904029185583715	0.0	0.3697132699124344	0.030372079152207892	1.5473371315096909	0.04738292310860735
8	-0.5031106638901551		-0.0013457546684929867		2.0	-0.2753715544720053		0.19510791886354456		0.0930983374937382		0.17640568952138086		-0.010507169805791961		0.7751564631947865		0.09842223268720768		0.06991570929060342		0.12770586500016243		0.8450721724853899		0.08137476309215812		0.4485240373038684		0.18816017438851612		1.2236805004986548		0.16036619138328984																									
9	16.05664166777573	0.0	0.047111613092802505	0.0	3.0	0.137372023388326	0.0029373293381122676	0.02365723400909915	0.0004509268803983936	0.13328866052266578	0.0	0.053186590689269335	0.0	0.06564433095611032	0.0	1.2316038744603983	0.0	0.01455216646808888	0.0	-0.03267683178561782	0.0	0.0338355550899439	0.0	1.1989270426747805	0.0	0.030546345760657827	0.0	0.026217883422059416	0.0	0.014577876230035654	0.0	1.2578217578824578	0.0	0.0008654053751092889	0.0	75.29199135526687	0.0	5.265145842001914	0.0	1.3901029085891266	0.0009022131961244148	0.035306783455067624	0.00011253560321041836	0.15849903412872846	0.0009022131961244187	0.038188162226784894	0.00010403441804872288	1.3783897021925053	0.0	0.06108393713628274	0.0	0.1467858277321072	0.0	0.06279341466256086	0.0	0.54272568820396	0.0007388803621114977	1.818637525355377	0.004454104398591384
10	2.9950668397002254	0.0	0.00880500686498139	0.0	3.0	0.7958397057386656	0.6319531397733223	0.04629438619908591	0.0020452473378678956	0.2762863675899392	0.0	0.06306107374278841	0.0	-0.12976423362088063	0.0	1.0106266694528934	0.0	0.04391371199698104	0.0	0.20701510407028575	0.0	0.0875946598574849	0.0	1.2176417735231793	0.0	0.0757918883139527	0.0	0.28131719486431006	0.0	0.1074075590910835	0.0	1.2919438643172034	0.0	0.09802025121652562	0.0	97.41651884098137	0.0	-3.986991692030884	0.0	1.686339615118069	0.4029177608855148	-0.05698981432553438	0.04252030698022077	0.6757129456651757	0.4029177608855147	0.07467070154911204	0.0347675935068331	1.4321546674551726	0.0	-0.08741701304411074	0.0	0.4215279980022793	0.0	0.09782713463506955	0.0	0.39251662229292444	0.21023132693678054	3.0176920412061867	1.5358791735042643
11	1.9842282754225273		0.005194026365711275		2.0	0.9145520001981912		0.021630316459060283		0.4501192544170959		0.0699781093120363		0.06752533292484204		0.6037646607617054		0.012752523905072257		0.3879096342800929		0.07261302008095544		0.9916742950417984		0.07148443060784493		0.44621199464941635		0.09068448863827747		1.0499766554111218		0.0897833481979617		128.1065510730807		4.837543721773542		1.6869363011943939		0.043481839818717075		1.0831716404326885		0.045313323205984454		1.6422681799836327		0.12136083545537799		1.0385035192219274		0.12202900986395315		0.2345121133166032		1.3153642767272145	
13	63.52108512880181	0.0	0.24862825532799784	0.0	5.0	0.352345243265954	0.09356067675902946	0.004276543198298451	0.0014516266855204112	0.3291954471130226	0.0	0.052629816605234074	0.0	0.15972794786810762	0.0	2.470653537445081	0.0	0.002506362758161235	0.0	-1.0731003611951453	0.0	0.4717826346554304	0.0	1.3975531762499356	0.0	0.4717759770358638	0.0	-0.3975442319763263	0.0	0.07177417909349043	0.0	2.0731093054687544	0.0	0.07173040450373148	0.0	74.15693919432084	0.0	-5.609867764247838	0.0	2.6881774122049307	0.029338133120624537	-0.04773272978490355	0.004584247050313468	0.2175238747598497	0.029338133120624596	0.04779888237764853	0.004578057085823959	2.690072435422055	0.0	-0.003954702185028482	0.0	0.21941889797697467	0.0	0.004682042678977484	0.0	0.47956152323249696	0.015516992522715725	1.355716118771069	0.05163427624604267
