Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	H_d_out	H_d_in	R0_g	Peak24	Contrast	Rating	Comment
19	G009.0177+00.1410	18	5	11.21	-	21	4	43.3	T		N		9.1	290	8.85	8.41	0.39	I	8.323937253694439	0.23717695812394535	287.5403310059041	-2.459668994095921	57.578364650582834	0.7346202886975021	16.139701453461186	1.0111880984071044	14.26117346403313	2.0876238287207456	105.91523688001115	-102.28285805601678	64.77996949754686	-63.569425600501575	130.6653984577315	-146.481638982926	1.3392251718222545	237.8916259120284	16.398605402611434	29.604265511324556	6.693100417935003	22.911165093389553	6.683943644056814	2.7752841643217363	0.007732828114882415	3	small
20	G009.6852-00.2025	18	7	51.86	-	20	39	48.8	T		N		8.3	335	10.92	9.69	1.12	I	9.997571792189692	0.5165489544111447	311.69955223022504	-23.300447769774962	12.496015672775796	0.8704663032026069	14.680880954770117	1.3278970446305518	15.70321997560603	2.398128779006024	100.09903674571996	-99.60171587997661	52.11278136807539	-71.3922256722118	152.1502065097913	-142.58623334691094	-4.028978097823061	187.79904520218463	15.270086588747532	27.657295131192626	3.42556062085141	24.231734510341212	8.013675775892615	1.8524417185101667	0.005184983574857637	3	small
21	G010.1395-00.0350	18	8	10.89	-	20	11	6.4	T		N		10.0	20	10.34	9.58	0.69	FH	8.971537576020097	0.2371119431979789	26.031589539083313	6.031589539083313	45.59999430173652	0.8093974795638924	15.624484091947142	1.246078008589291	26.797425660971495	3.3488036596006845	118.6188210808979	-84.72521670521178	65.1137935829765	-53.59138018305896	131.41857659002963	-115.95995141919457	14.332338779524823	216.15665397024964	27.863436692802267	30.89691659877307	5.574225055725353	25.322691543047718	9.673304794226889	18.812415053973634	0.050614898117456356	3	small
22	G010.1641-00.0380	18	8	14.61	-	20	9	54.2	T		N		4.9	90	14.08	12.09	1.81	FH	9.242916885911933	4.0802466652776115	89.99594229654615	-0.004057703453852923	3.370226068951459	0.9230149988419677	8.53120702387943	1.0556433766373121	6.7479312636898205	2.5588335373975712	167.38211453821225	-143.97109842956405	6.19334515222846	-143.97109842956405	167.38211453821225	-143.97109842956405	-29.07409290514953	272.2876796251124	17.020335405090787	33.0000135614453	-2.4193983197264615	35.41941188117176	5.647020572350431	3.71830027548392	0.009916118557456739	1	too small
23	G010.2414-00.5411	18	10	14.55	-	20	20	10.3	T		N		5.6	245	11.64	10.23	1.28	FH	3.7896403097564715	0.6238532692265772	238.0956738481936	-6.904326151806401	7.073496921686678	0.8200832116807435	9.41444131148991	2.5243307541659505	9.429061163266635	1.9986947571002776	114.842860876663	-119.42962870306948	42.44946699762164	-82.02982257426461	nan	nan	0.0	141.0	3.9334915489853457	15.365826382515941	4.793116160325615	10.572710222190326	3.4761770712731206	0.006117314797347881	1.681653603897033e-05	2	too small, Rc too big
24	G010.3576+00.1878	18	7	48.21	-	19	53	10.4	T		N		6.1	165	11.07	9.76	1.19	I																										0	missing
25	G010.5863-00.4140	18	10	30.9	-	19	58	39.4	T		Y		7.8	35	12.94	10.29	2.42	FB	9.6087226240971	0.5081518278100007	39.83517245095086	4.835172450950857	23.187498940538934	0.9384393864018502	14.30907493769844	1.948114018832152	15.900613593230617	0.9619800822084401	114.9691161013566	-103.80583010878513	71.01110485948186	-53.10178770388768	nan	nan	0.0	141.0	28.690140764536952	28.281423087866223	4.233490575676516	24.047932512189703	8.884518343634664	330.0502260447285	0.513406033963611	2	too small
26	G011.0709-00.5437	18	11	59.42	-	19	36	55.4	T		N		8.2	30	8.98	8.76	0.19	I	6.604249693907523	0.34547729077169764	33.53928417250735	3.539284172507351	50.03429067911036	0.8175323527138187	13.271809135830223	2.062529356381466	13.33698735435809	1.247416298898701	94.0419693550906	-91.01075770536585	49.752612645620516	-67.95600535686276	104.03123995363379	-119.79598772799483	0.0	141.0	14.992778020581047	31.38052475479912	10.258471524403404	21.122053230395714	6.104503452678882	2.6980061096405743	0.007852881036797123	2	too small
27	G011.1189-00.5784	18	12	13.06	-	19	35	23.9	T		N		6.3	60	8.89	8.8	0.07	I																										1	way too small
28	G011.6548+00.4943	18	9	20.03	-	18	36	11.5	T		N		13.4	125	9.17	8.57	0.54	I	13.175992918677213	0.15966465191918822	130.96836556053947	5.968365560539468	58.65598584204756	0.5761020526101664	23.52021114472821	0.9193451748197705	26.005682414031163	3.3592096921256216	112.914477173351	-92.19749085662176	76.78629854763776	-40.46785818669265	130.721221430946	-121.235189656492	14.993182654836112	265.54733101745376	28.435480480026534	28.611377787359007	-0.08116425275933636	28.692542040118344	12.088280536165295	16.38682477019276	0.04733836871599822	3	
