Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	R0_g	Peak24	Contrast	Rating	Comment
1	G000.1169-00.5703	17	48	7.01	-	29	7	55.5	T		Y	C	26.4	27	8.97	8.72	0.22	I	31.999503736033578	1.3815854861593817	16.951883728681977	-10.048116271318023	44.97481061729575	1.8416985583107897	51.07595165589301	3.980548605217774	46.01534880463302	3.110750175160217	83.33418828112671	-72.3109884181141	47.54607361924775	-30.502401030422334	125.7546186824647	-110.20410313403323	6.808235635116195	140.5785463904082	49.602634699718365	47.3473052343884	30.30365148476937	122.69614652608108	0.30397717807172	4	
2	G000.3100-01.0495	17	50	27.59	-	29	12	46.8	T		N	C	6.8	145	10.57	10.31	0.23	I	11.105463066008749	3.7012260471742113	152.64642943328815	7.646429433288148	11.110901828786014	3.308608292357927	11.501445677229569	1.4954457838003707	12.917655484025888	3.3133914035903134	nan	-133.1754990417219	39.01656310648224	-48.570617431807634	nan	nan	0.0	141.0	12.422349532493795	0.7869114138374176	8.156347806437804	2.115432265972615	0.005832214059274776	3	
3	G001.0563-00.1499	17	48	41.78	-	28	6	37.8	T		Y		6.2	200	11.14	9.8	1.22	H	6.93002566886959	1.1714842134329857	204.325876332477	4.325876332477009	34.30888672940911	1.7941192817154348	9.725193491646353	1.3970008859160448	12.579410563889715	2.608591291300849	120.44950420877393	nan	63.77467513378696	-89.22236663792906	nan	nan	0.0	141.0	15.796911267152034	34.775622982203096	7.394195452716275	57.8229636778645	0.08226386818448765	0	missing
4	G001.2588-00.0780	17	48	53.4	-	27	53	59.7	T		N	C	10.2	215	12.28	11.22	0.96	FH	14.925186607101834	2.219252193280348	200.66281439617072	-14.337185603829283	19.692607197358836	1.7320733056894935	22.102633414156024	3.396185055811515	18.040209290319105	2.320185499265955	93.28490959543973	-91.99177273081956	59.36909966633647	-48.96041297221032	123.61077605062127	-146.92303859988073	1.9820007191314282	191.420391523389	33.432864543295516	33.233993794547374	12.133547983901556	33.73240527507505	0.09030285861092825	3	
5	G003.5118-00.0470	17	53	56.0	-	25	56	50.3	T		N		8.6	135	10.69	9.69	0.91	I	10.386031971942394	1.9460792074491688	124.05976936204407	-10.940230637955935	18.611787468798955	1.8954725738121643	14.921423621107062	3.913806609030911	12.910900219377023	2.9998097596861664	132.33133391328602	-130.26955508401392	62.17181641197632	-71.99062375312954	172.06608583572552	-174.639255816814	-4.600681492300338	156.30675334428378	23.87684085672282	23.334713026838664	9.310604072926909	3.8817622979400355	0.011140304986900242	3	
6	G003.7391+00.1425	17	53	43.03	-	25	39	19.2	T		N		3.9	20	11.48	9.41	1.89	I	5.076730640285243	2.0580326013657264	16.526100275097257	-3.4738997249027435	58.945082731496846	1.7703536695512525	8.230193817345464	1.6194896629650835	6.48683175434732	1.1494317390842042	nan	nan	121.88362130588325	-46.59663682646192	nan	nan	0.0	141.0	6.7411534696376325	19.14867575502763	8.39821362207014	0.18821881937494203	0.0005219016825552088	0	missing
7	G003.8417-01.0440	17	58	30.64	-	26	9	49.1	T		Y		12.6	25	10.22	9.87	0.31	FB	11.520531073989062	2.7993453520715876	25.75853568985896	0.7585356898589595	26.5750764507948	2.071397824505755	22.452596286288387	4.947542956814523	15.885502273351102	0.48488917315875196	98.73060297525056	-140.6852677643152	66.4325419526376	-41.059375976987326	177.53658090708345	-175.0664469098466	8.439433062668417	107.35201375597082	14.51758773391965	6.816936996497942	10.062748919969705	2.618410960077957	0.007265226202018372	0	missing
8	G004.3087+00.2222	17	54	41.06	-	25	7	25.6	T		N		10.1	260	13.94	12.1	1.68	I	7.37199794077465	1.7225567704514027	269.7112182415859	9.711218241585925	4.134541729179262	1.6050745192286235	7.712700421962048	2.7819412227082805	7.657964201189673	2.609970135532528	nan	nan	130.01651186507178	-114.5168143084723	nan	nan	0.0	141.0	9.157067407638186	26.446162515095693	7.561908048338783	-0.42971653520578923	-0.0011533311033378132	2	too small
9	G004.7315-00.3875	17	57	57.06	-	25	3	53.6	T		N	C	10.1	125	13.3	11.77	1.39	I	17.200218863152948	0.5155461402540406	156.78594145381987	31.785941453819873	18.8528527738868	1.4107695312759498	23.42565979831843	5.443547570913745	18.125102918923723	2.359942889513278	80.55713719726879	-70.02684551326496	44.31061236080396	-42.44545118914061	121.79703557318146	-123.40008633374825	0.6922934830625965	124.79714967169339	38.825666692908875	35.484667132419816	16.699295302645332	16.83722432076727	0.04954750038796681	3	
10	G004.8449-00.9309	18	0	17.05	-	25	14	14.7	T	HD314937	N		3.1	140	9.36	9.31	0.03	I	11.236320983272227	1.3480806535737389	154.77859413809102	14.778594138091023	16.426502524449756	1.6632109352107196	15.533276032272873	2.2246392399074146	19.76970495553947	2.8534831570293044	93.42952714895048	-101.40351053301225	59.591765612295234	-70.11291762533678	140.01934194377947	-152.05956261791505	-5.115675470678359	179.75943206579007	26.099741238518536	32.38827037402456	8.898693266384022	2.1011960307367215	0.006159032011605005	3	
