Seq	Peak24	E Peak24	Contrast	E Contrast	Rating	log Pi	E log Pi	e log Pi	E e log Pi	log Lam	E log Lam	e log Lam	E e log Lam	d log Lam	E d log Lam	log R0	E log R0	d log R0	E d log R0	log H	E log H	e log H	E e log H	log h	E log h	e log h	E e log h	log Hin	E log Hin	e log Hin	E e log Hin	log hin	E log hin	e log hin	E e log hin	breadth50	E breadth50	d_breadth50	E d_breadth50	log s	E log s	e log s	E e log s	log S	E log S	e log S	E e log S	log ss	E log ss	e log ss	E e log ss	log SS	E log SS	e log SS	E e log SS	core_bratio	E core_bratio	wing_bratio	E wing_bratio
1	182.3278694739212	0.0	1.979483556621364	0.0	4.0	0.11778577658466395	0.09918228205977274	0.023523069759577363	0.0006908425703281978	0.2126150346144485	0.0	0.04180095046834872	0.0	-0.0019969574404663766	0.0	1.4851599328201657	0.0	0.016112863194545083	0.0	-0.2056900820945721	0.0	0.017485753581746668	0.0	1.2794698507255935	0.0	0.006791702142720981	0.0	-0.24032951585406356	0.0	0.01932742529147768	0.0	1.244830416966102	0.0	0.01067356585549204	0.0	67.13710047167766	0.0	6.35332441128336	0.0	1.5822921183334078	0.024556948785946508	0.0459122546821259	0.004201418315332223	0.09713218551324238	0.024556948785946414	0.04867072810868939	0.003966294164485879	1.6008169912476926	0.0	0.05150746748566091	0.0	0.11565705842752695	0.0	0.0539689129695285	0.0	0.5559234493255031	0.019567496501727413	1.5850070976464823	0.08964747196368023
2	24.589969106863027	0.0	0.5556921326519653	0.0	3.0	0.7978270923618118	0.5828086381934485	0.04357063313456255	0.005588242189877412	0.28730113762182713	0.0	0.05966469481752963	0.0	-0.22726645961456957	0.0	0.9129151337176619	0.0	0.039504030445468914	0.0	-0.7117054320220391	0.0	0.5807171076447167	0.0	0.20120970169562286	0.0	0.5793718932514839	0.0	-0.45723370410981296	0.0	0.2296039890438394	0.0	0.45568142960784896	0.0	0.22618006844858587	0.0	71.75455438846498	0.0	2.711682295319058	0.0	1.2138863305330616	0.13544446695829868	0.03579417976823244	0.016352964129448457	0.30097119681539974	0.1354444669582986	0.054007110076359915	0.010838219948546203	1.0937891235029376	0.0	-0.02143023213307095	0.0	0.18087398978527552	0.0	0.044942443977979675	0.0	0.31875677215447185	0.08242513295080879	7.719622207525546	6.321266046605086
3	558.3313622605646	0.0	1.8326130277048858	0.0	3.0	0.41455073497246825	0.06018257239389168	0.05052118047820603	0.0005421928499535403	0.24284591286127885	0.0	0.07447026001571806	0.0	-0.22991077351255754	0.0	0.8258345378697376	0.0	0.047930848733004315	0.0	-0.07572821792852123	0.0	0.058179736156896776	0.0	0.7501063199412163	0.0	0.03297749898066834	0.0	0.026787661045806644	0.0	0.05178865585927464	0.0	0.8526221989155442	0.0	0.01961373537713409	0.0	59.325681734046775	0.0	-40.88826559913232	0.0	1.0277877079005955	0.030948012450429933	-0.34485293067916106	0.006064364957236642	0.20195317003085791	0.030948012450429933	0.3481685946561773	0.006007175081255613	1.058754819906982	0.0	-0.3526797119270029	0.0	0.23292028203724455	0.0	0.3559218249351674	0.0	0.6467878082781934	0.022419436564115755		
4	76.43958732670777	0.0	0.9945135063609762	0.0	3.0	0.31267953622151706	0.0639348856839413	0.03243161684093041	0.001997736494349364	0.2661808734103842	0.0	0.06947160786552306	0.0	0.08873582239477869	0.0	1.0188842016635573	0.0	0.029990117483000123	0.0	-0.10744570759730239	0.0	0.06864459403364095	0.0	0.9114384940662547	0.0	0.06174684723448821	0.0	-0.11755324210559454	0.0	0.07460685104734058	0.0	0.9013309595579627	0.0	0.0683137985809303	0.0	77.82537975618438	0.0	-5.5941613269602755	0.0	1.2535531938848508	0.022102739951814485	-0.04448166728505723	0.0031321428802464513	0.23466899222129367	0.02210273995181456	0.05366600402912274	0.002605598394912826	1.2432808190256297	0.0	-0.01751464842400121	0.0	0.22439661736207248	0.0	0.03472995905641867	0.0	0.4184945061229399	0.015062577071601599	1.586751171864049	0.05906421138529926
5	13.739548285354994	0.0	0.31534211860717354	0.0	3.0	0.03638782485634088	0.03058799274502549	0.025426892034760406	0.001462852435369784	0.1268823190611655	0.0	0.06981649134553972	0.0	0.117234811320528	0.0	1.0642928228517992	0.0	0.014167002277939674	0.0	-0.2555805380836117	0.0	0.014949384198487245	0.0	0.8087122847681876	0.0	0.004772853902104302	0.0	-0.0797665677874101	0.0	0.07679200435214147	0.0	0.9845262550643891	0.0	0.0754738893848473	0.0	92.53316867284398	0.0	-18.785565378830242	0.0	1.2880464593135306	0.013221634264959183	-0.09287048777619379	0.003968229061874736	0.22375363646173127	0.013221634264959274	0.0939461090162892	0.003922616847682404	1.309528102320818	0.0	-0.06966696246632265	0.0	0.24523527946901882	0.0	0.07109282391934617	0.0	0.43561560176563824	0.010503140134630846	1.4896947546802222	0.029920016473705482
6	16.00187881713353	0.0	0.2968250533777824	0.0	1.0	-0.06323685969186953	0.03899673362436124	0.10756501912546058	0.005444233157579876	0.09870009867700529	0.0	0.11846688735399409	0.0	0.08739674187135214	0.0	0.8335846333607501	0.0	0.07302356086612313	0.0	-0.15241265659921044	0.0	0.08018524092717455	0.0	0.6811719767615395	0.0	0.03312449880346328	0.0	0.19301616653894568	0.0	0.1526735921872776	0.0	1.0266007998996955	0.0	0.13407753469466377	0.0	121.56538255012839	0.0	29.31791641170497	0.0	1.120655447392364	0.023754269623239583	0.09129811519084093	0.008516759464483728	0.287070814031614	0.02375426962323958	0.11699121924135895	0.006617895500759406	1.6080338237258083	0.0	0.3212301338817864	0.0	0.7744491903650582	0.0	0.3294256203686635	0.0	0.8073221500843876	0.01654328192155032		
7	42.58914455199688	0.0	0.7426024253905088	0.0	4.0	0.22649620158423786	0.014748755828158294	0.007581552070525361	0.0005024916498871374	0.22622698622425128	0.0	0.037506664492742516	0.0	0.07444897925919908	0.0	1.0990358829252254	0.0	0.0018835781151736862	0.0	-2.5905639270270187	0.0	30.637496798596818	0.0	-1.4915280441017933	0.0	30.637496740696083	0.0	-2.2213087757133434	0.0	12.967405227104251	0.0	-1.1222728927881183	0.0	12.967405090304853	0.0	78.1213444343957	0.0	5.268298128342316	0.0	1.3061332081156378	0.005030729462809762	0.03796192746059546	0.0006254790828348208	0.20709732519041246	0.005030729462809734	0.03800863644589402	0.0006247094749226108	1.3159631154690314	0.0	0.06882518852992803	0.0	0.21692723254380616	0.0	0.06885095818284664	0.0	0.5641048753419837	0.0031139856046713045	1.478998789907046	0.010853012667551856
8	13.203518756169307	0.0	0.16116169888539203	0.0	1.0	-0.15318632670727175	0.18073968447538738	0.2115849168859915	0.011408489775383113	0.1574665192522898	0.0	0.2074091006304235	0.0	-0.13989886914191668	0.0	0.7217318402959463	0.0	0.17579987442283074	0.0	0.0865767002799764	0.0	0.18801614198936797	0.0	0.8083085405759226	0.0	0.06666688684409307	0.0	0.30032013082623765	0.0	0.21580119525770072	0.0	1.022051971122184	0.0	0.1251581400771409	0.0																								
10	21.070796998223898	0.0	0.836903882256231	0.0	3.0	0.3869272783328846	0.11228025662585003	0.012680427603297255	0.0005174034265097623	0.24915275872034734	0.0	0.0213942645912045	0.0	-0.23668364401970163	0.0	1.0643363246278712	0.0	0.007904028385944934	0.0	-0.11854128880833192	0.0	0.03725059616183064	0.0	0.9457950358195393	0.0	0.036402379725588935	0.0	0.044232977323674545	0.0	0.04357359908802868	0.0	1.1085693019515457	0.0	0.042850727797301535	0.0	74.77869294839057	0.0	-2.2008176829201176	0.0	1.296463141052267	0.03515332288642926	-0.01940652002307028	0.0021840652074685257	0.23212681642439584	0.03515332288642916	0.020965898138328526	0.0020116758953170693	1.2631268776092037	0.0	-0.0716578631043204	0.0	0.1987905529813325	0.0	0.07209246152964502	0.0	0.7004058453374077	0.02309781723573568	2.2376387328365936	0.23062954826408125
11	40.033659922134824	0.0	0.36791855628808284	0.0	3.0	0.35911420537453537	0.0498908402207333	0.03416616936875367	0.0007914046612691543	0.29277530634911686	0.0	0.0554984186650511	0.0	0.0449310409478994	0.0	0.7839892979932155	0.0	0.02925072531206073	0.0	-0.01934330271671082	0.0	0.10022443785415543	0.0	0.7646459952765047	0.0	0.09586100881953953	0.0	0.03958137581566529	0.0	0.11503064423289328	0.0	0.8235706738088808	0.0	0.11124946822952832	0.0	93.62482510268755	0.0	7.856430248045257	0.0	1.1620544063997786	0.024941083129709135	0.05951766998442002	0.00368861060475526	0.378065108406563	0.024941083129709087	0.06633067518388057	0.0033022871094515994	1.1867815171454794	0.0	0.09244637172944108	0.0	0.40279221915226393	0.0	0.09696358376844179	0.0	0.533479468791315	0.0142082962680021		
