Seq	Peak24	E Peak24	Contrast	E Contrast	Rating	log Pi	E log Pi	e log Pi	E e log Pi	log Lam	E log Lam	e log Lam	E e log Lam	d log Lam	E d log Lam	log R0	E log R0	d log R0	E d log R0	log H	E log H	e log H	E e log H	log h	E log h	e log h	E e log h	breadth50	E breadth50	d_breadth50	E d_breadth50	log s	E log s	e log s	E e log s	log S	E log S	e log S	E e log S	core_bratio	E core_bratio	wing_bratio	E wing_bratio
1	122.53928867675465	0.1718291647956724	0.30334637501559353	0.000691010126367308	4.0	0.1135565341377055	0.06826195548037067	0.020663145972791726	0.007359684022517882	0.19672775635053516	0.017221138803030063	0.035853221138931156	0.0010891082267851192	0.03730834231361522	0.0046638111672943775	1.4948273706864352	0.011300472065225704	0.010830894978751048	0.008675775334935094	0.18812348545277954	0.008488801258395587	0.01618497329413472	0.005602455674939637	1.6829508561392146	0.002811670806830178	0.010391993811042326	0.0003166683979307628	77.82258834962043	0.0	5.511599931506304	0.0	1.8052498623112125	0.09620685032179149	0.027870079884334584	0.0014491837176894454	0.3104224916247777	0.10202462230139303	0.030750101887480775	0.003942874378072022	0.5194436058634692	0.008828385079390606	1.4327030440776225	0.04243390100944114
4	34.25283001863771	0.5700967430662175	0.09181279226010224	0.0016540494399773554	3.0	0.2241857869549192	0.20337447890433638	0.04788820163612976	0.03411549296693171	0.18489158194333633	0.061600410168085956	0.06903466883570576	0.022323581507923056	0.06589612406789606	0.01148275685289218	1.1351265690717434	0.04249582217459124	0.03827331622994585	0.02881315607364884	0.38578010155670034	0.040334154831438776	0.03830389475506304	0.02879389328037306	1.5209066706284435	0.00216166734315246	0.0011852096110735854	0.00012084259952086136	92.63834116312965	0.0	0.6465684323100831	0.0	1.6519346116714644	0.23723456125308195	0.002487008958300074	0.00048757308271524404	0.5168080425997207	0.2773482690234768	0.03839626564406226	0.028749716007284015	0.6185541954455176	0.030150814440546164	1.3293233665892348	0.11737847222134544
5	3.14566564061232	0.8063534874450808	0.009012414466740037	0.002330987275586292	3.0	0.17726820011647001	0.18424356121124216	0.06944132808162497	0.046404349573011164	0.1597521550196534	0.03580170630018764	0.08860698783653376	0.0509632092059838	0.07025212613919492	0.03300437338519657	0.9921281342741667	0.026642891261241104	0.052097776765640404	0.032072446497878764	0.3845123982215874	0.03061084922120149	0.09744183590517845	0.01743224406660194	1.376640532495754	0.003967957959960237	0.05801075124492173	0.0580846300290974	131.30044449864997	0.0	1.03088941463605	0.0	1.5654537384862455	0.2203139443353386	0.002633168869259107	0.0013018724524095039	0.5733256042120787	0.23677742448765277	0.05217869157375357	0.03207073397480638	0.5640788410190234	0.08917235509127226	1.234581956030663	0.14382818600578606
9	16.446932994271496	0.4275427270406943	0.04832955674038466	0.0013341904191017408	3.0	0.07784101479472144	0.06701635215663586	0.028789598576289238	0.005674244334090902	0.10765184599214893	0.02808372324188059	0.06789100126157913	0.01610787473054304	0.06394087460966585	0.0018660429333459392	1.2335689237785923	0.002152603676369813	0.013784687736702703	0.0008407308271713151	0.32342324478999107	0.012117812488734088	0.021608854320183533	0.0020357116630148686	1.5569921685685832	0.014270416165104017	0.016439733217149467	0.003380748820740299	75.29199135526687	0.0	5.265145842001914	0.0	1.4760380905029393	0.10318713497671318	0.028453182644875768	0.0015707964608443427	0.2424691667243473	0.10527116031755676	0.031643116970643925	0.0010730658176489542	0.5891326797387016	0.01061322726002209	1.554558374229827	0.06064120103866069
13	64.15524046285347	0.6946823628446342	0.2519414192230043	0.003629389204013389	5.0	0.401912217565851	0.08703405492131422	0.020604726784551452	0.0179112337364163	0.3367307044146255	0.008254460801386764	0.05520662800298334	0.0028227554579673877	0.14854426324961728	0.012251112683141436	2.453540798104736	0.018746066714826027	0.019098603628817195	0.01817588920883485	-0.26894430627556604	0.0252157523934719	0.03466156778410184	0.013887633326793832	2.1845964918291703	0.006469685678646034	0.026469919272350272	0.00507115412538487	74.15693919432084	0.0	-5.609867764247838	0.0	3.1349349676357643	0.09866186905901318	-0.02683721747445969	0.00048576564784216385	0.6813941695310283	0.10928086222602407	0.03585943575783795	0.009461048576262109	0.5588048204577455	0.0011822034128170958	1.1423364361825457	0.006778794454633304
14	9.675178077885061	0.00891135249956631	0.02469702199920429	2.276483291941057e-05	3.0	0.012421910079038532	0.05799624639819852	0.039756013429375146	0.007882884758188468	0.10758941808928851	0.015703646482061347	0.051559284803290445	0.009895527215060824	0.00011717940394059476	0.013349213900683395	1.3687278659664956	0.0018372797650994736	0.024119816930292342	0.003562783171939405	0.2526733201890575	0.001103000811480927	0.1827688461132846	0.0003964395408926197	1.6214011861555528	0.0007342789536184548	0.18114147522045987	7.439974975626774e-05	96.89224810694328	0.0	0.5733827022137703	0.0	1.6137373244550917	0.0910317549343079	0.0025454157984325355	0.0002238354408710888	0.24500945848859626	0.08981350942268695	0.02425894243590586	0.0035272698946641275	0.5429033504744466	0.017506783900266627	1.3577841828547415	0.04447488181173063
16	43.281619392465814	0.0	0.11418849205803853	0.0	4.0	0.2579106779608784	0.08576914732047382	0.04038115615410746	0.0006596708600994424	0.24256818810342784	0.0	0.057988470614820244	0.0	0.08095861763919937	0.0	1.5319183286304332	0.0	0.037289322461411284	0.0	0.1916841746605248	0.0	0.0948823635761696	0.0	1.723602503290958	0.0	0.08724774695182291	0.0	76.39864741548013	0.0	-19.926477765926855	0.0	2.0321950666876405	0.11434178006770464	-0.096182647624951	0.0034360690091652523	0.5002767380572073	0.11434178006770472	0.10316302306992486	0.003207099548171471	0.6216889776352098	0.006464164149560196	1.2126254656612716	0.013923538139596224
18	64.10407605332782	0.02128452712873606	0.16274561689736597	8.169465120855738e-05	5.0	0.1812402645801827	0.08295634468573258	0.019676270573200007	0.008671805694017001	0.2551656630661293	0.01976208618418488	0.039136453300020586	0.006448875556338917	0.03445094354258094	0.006150133194880529	1.4207940471446039	0.01258436979098512	0.016678676565107315	0.007441585649664711	0.19852946391562507	0.012420500371489167	0.02514562800638703	0.0032817166100186533	1.6193235110602286	0.00016386941949593305	0.017673009545130416	0.0023535875413959787	80.2085083016615	0.0	-3.5072052141846086	0.0	1.8399628143363778	0.10707343134167643	-0.016323983362602396	0.0009027415415676495	0.41916876719177404	0.11726116581901529	0.023749014249498986	0.005740570322525152	0.6946121215143487	0.008751809026514222	1.2717791250686736	0.02497087906692951
19	2.747132582001553	0.03083851333245637	0.007653887964322613	8.64746023089147e-05	3.0	0.29623846309673774	0.3126390019265914	0.0587828445775597	0.04425966755677026	0.2063484050381603	0.06044543891270873	0.07432731027882832	0.03106893599627562	0.026768675648437452	0.021540423032638714	0.9657815852338286	0.04979103394070219	0.04620528753144912	0.03705976006770842	0.3934160214777598	0.05259245219855304	0.13571870699740152	0.011432922029990675	1.3591976067115885	0.0028014182578509628	0.12348130395917449	0.0013013749410653354	104.09904746801396	0.0	1.8161894119971862	0.0	1.6055800514517784	0.34868126609390243	0.005614730075024845	0.0019075122990574239	0.63979846621795	0.3874509109066111	0.04672490988419662	0.036836779482451364	0.6654227916403302	0.0461212492124332	1.2177299992865505	0.10907576159035644
20	2.708324404543553	0.9375725074371946	0.007606029226268445	0.002652122632054978	3.0	0.12421015681952724	0.09237629695200504	0.06043144627074398	0.029742527710979044	0.1447590860695983	0.040490693325137196	0.07166741940508906	0.01519986609254757	-0.01145962858910726	0.012415079783791005	1.0288158729550316	0.031681742250185524	0.041989837518441396	0.021416995779715942	0.34201631575390784	0.01118059771745917	0.11226358542550313	0.01648675875492228	1.3708321887089394	0.042862339967644665	0.10028740522249525	0.027422773744069436	99.8503763128483	0.0	0.24866043287167372	0.0	1.4481606540704381	0.10667361970312149	0.000919081867857308	0.00010550192406278742	0.41934478111540635	0.12814871320078333	0.04200189611414276	0.021412545524303772	0.6480693154797929	0.018903478943847904	1.368776611361892	0.0694674463583576
