Seq	Rating	Comment
484	3	smallish
485	4	
486	4	
487	3	smallish
488	2	too small
489	3	asymmetric
490	0	
491	4	
492	3	
493	2	too small
494	1	too small
495	3	smallish
496	3	smallish
497	0	
498	0	
499	0	
500	0	
501	1	too small
502	1	way too small
503	2	too small
504	2	too small
505	3	
506	3	
507	2	too small
508	0	
509	4	
510	2	too small
511	3	smallish
512	2	too small
513	2	too small
514	1	way too small
515	4	
516	1	way too small
517	4	
518	1	way too small
519	1	too small
520	3	asymmetric
521	4	
522	2	too small
523	1	too small
524	1	way too small
525	1	too small
526	0	
527	5	
528	2	too small
529	0	
530	2	too small
531	2	too small
532	2	too small
533	2	too small
534	3	
535	1	way too small
536	3	smallish
537	0	
538	1	way too small
539	1	too small
540	3	smallish
541	1	way too small
542	3	STARS, asymmetric
543	2	too small
544	4	
545	2	too small
546	1	too small
547	1	way too small
548	3	
549	0	
550	1	too small
551	1	way too small
552	0	
553	1	way too small
554	3	smallish
555	2	too small
556	3	
557	3	smallish
558	3	
559	3	
560	3	
561	1	way too small
562	3	smallish
563	3	
564	1	way too small
565	3	
566	4	
567	1	way too small
568	2	too small
569	3	
570	0	
571	1	too small
572	4	
573	0	
574	2	too small
575	4	
576	1	STARS
577	2	too small
578	2	too small
579	3	smallish
580	3	smallish
581	3	smallish
582	1	too small
583	0	
584	3	smallish
585	1	way too small
586	3	smallish
587	2	STARS
588	1	way too small
589	3	smallish
590	1	way too small
591	3	smallish
592	1	way too small
593	3	smallish
594	0	
595	5	
596	3	smallish
597	2	too small
598	5	
599	1	too small
600	1	way too small
601	1	way too small
602	0	
603	3	smallish
604	3	
605	2	too small
606	1	too small
607	3	smallish
608	1	way too small
609	1	way too small
610	3	
611	1	too small
612	3	smallish
613	3	smallish
614	0	
615	2	too small
616	2	too small
617	2	too small
618	3	smallish
619	0	
620	3	smallish
621	2	too small
622	1	way too small
623	1	too small
624	3	
625	1	way too small
626	2	NaNs in image
627	1	too small
628	1	too small
629	1	too small
630	4	
631	2	too small
632	3	smallish
633	3	smallish
634	5	
635	2	image truncated
636	3	
637	0	
638	0	
639	2	too small
640	3	smallish
641	3	smallish
642	4	
643	1	too small
644	2	too small
645	1	way too small
646	2	too small
647	3	smallish
648	4	STARS
649	3	smallish
650	0	
651	0	
652	1	way too small
653	1	way too small
654	1	way too small
655	1	way too small
656	3	STARS
657	0	
658	3	smallish
659	3	smallish
660	1	STARS
661	1	way too small
662	4	asymmetric
663	2	too small
664	0	
665	1	way too small
666	2	too small
667	4	
668	1	way too small
669	1	way too small
670	1	too small
671	2	too small
672	3	
673	2	too small
674	2	too small
675	4	
676	4	
677	4	asymmetric
678	3	asymmetric
679	0	
680	3	
681	3	
682	0	
683	2	too small
684	2	too small
685	4	
686	3	smallish
687	2	smallish
688	4	smallish
689	3	smallish
690	0	
691	2	too small
692	4	
693	1	way too small
694	2	too small
695	0	
696	4	
697	4	
698	3	
699	0	
700	3	
701	1	tiny
702	0	
703	0	
704	0	
705	3	asymmetric
706	0	
707	4	multiple shell
708	0	
709	4	
