Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_g	dth_g	H_g	R0_g	Peak24	Contrast	Rating	Comment
1	G000.1169-00.5703	17	48	7.01	-	29	7	55.5	T		Y	C	26.4	27	8.97	8.72	0.22	I	31.012352802152755	1.1275493512334778	349.67116006870134	-37.32883993129866	37.05886009526575	1.6141013569395057	50.35689603819852	2.8921698181043753	48.64521965089289	4.665622658915512	73.49042488296102	-60.7837760603943	8.036901360547555	132.6389199567891	36.88013141278528	32.10773365663476	182.27903128666614	1.978760125749941	4	
2	G000.3100-01.0495	17	50	27.59	-	29	12	46.8	T		N	C	6.8	145	10.57	10.31	0.23	I	9.486523127907354	1.5509409353514934	155.81181878492183	10.811818784921826	22.01145265933861	1.5996466411303936	12.005873718845715	2.5746857447301816	14.989763232424165	3.025688101975931	74.46623668378405	-69.04287209314593	-2.3374644646521574	112.5010477018503	8.606956944633644	7.242519742883457	25.20063935895258	0.539208642728649	3	
3	G001.0563-00.1499	17	48	41.78	-	28	6	37.8	T		Y		6.2	200	11.14	9.8	1.22	H	7.916108416400597	1.045119039290622	229.21066204432407	29.210662044324067	9.8506877838403	1.1686128277537815	9.347040736470802	1.3470530495685409	13.59154779921941	1.7620991171787128	18.437416134914457	-100.21394733317909	0.0	141.0	14.771941180759722	6.181362155402001	559.2997169437907	1.9991833024055479	3	
4	G001.2588-00.0780	17	48	53.4	-	27	53	59.7	T		N	C	10.2	215	12.28	11.22	0.96	FH	12.319016793726487	1.6987460311954299	211.52454241610812	-3.475457583891881	25.926741986613923	1.4543740508403002	22.14529872959024	1.3602555813881458	17.98109451065523	3.4100172080046804	72.2312184292241	-83.41954108314465	2.953344283282763	189.30088630969314	15.272561139767795	10.7026636539219	60.98021789667387	0.6255470845159168	3	
5	G003.5118-00.0470	17	53	56.0	-	25	56	50.3	T		N		8.6	135	10.69	9.69	0.91	I	11.512464461035943	0.34556128406787684	200.97844068450692	65.97844068450692	11.016237822353228	0.883918367961259	16.572619533918374	4.121952034663101	11.39131071164124	0.8589112392684564	73.74760329401374	-111.31873405167423	-9.831784802590843	143.17173541692617	12.655440823656713	11.213650086098546	13.92195398648502	0.319450929905673	3	
6	G003.7391+00.1425	17	53	43.03	-	25	39	19.2	T		N		3.9	20	11.48	9.41	1.89	I	6.784962437529366	1.3798253111859162	40.68012058336648	20.68012058336648	4.242340033606101	1.2947457019955537	9.220968575278038	1.6659562277335076	7.154837309530873	1.9837600587007944	150.88329896183336	-92.24746613842342	0.0	141.0	8.134277215036564	7.946413088794311	16.001862052535987	0.2968246549827754	1	
7	G003.8417-01.0440	17	58	30.64	-	26	9	49.1	T		Y		12.6	25	10.22	9.87	0.31	FB	12.610892821938764	0.08300701796294208	32.44357672231217	7.443576722312173	20.230768603964698	0.5552226957735259	24.364982260669567	3.1089168199225816	17.115540179864798	2.099320803220481	83.38964256273802	-72.85304630605339	11.731797006774702	98.62847504111093	9.1440262254262	12.641227542546698	42.54024898442506	0.7408702144703977	4	
8	G004.3087+00.2222	17	54	41.06	-	25	7	25.6	T		N		10.1	260	13.94	12.1	1.68	I	5.927888616041011	2.715621682370353	252.74570383146553	-7.2542961685344665	10.7405199204298	1.5815777216857163	6.321831501245909	2.2060305608982964	8.511448081179045	2.1122936232456233	nan	-119.88215811254531	0.0	141.0	8.885664712529481	3.1393742746831017	13.99000973910154	0.17245003943289608	1	
9	G004.7315-00.3875	17	57	57.06	-	25	3	53.6	T		N	C	10.1	125	13.3	11.77	1.39	I	17.24804685638968	0.8372934144910552	166.67632528071144	41.67632528071144	20.1649705176051	0.9419459447372353	20.52951095150669	2.363701886061338	20.407802265639766	0.7289319892836819	63.97138174161185	-51.61216398657275	5.256607429348084	105.61421830835286	19.536706944731023	17.318616890779616	35.23703146507809	1.046638237839669	2	
10	G004.8449-00.9309	18	0	17.05	-	25	14	14.7	T	HD314937	N		3.1	140	9.36	9.31	0.03	I	12.776335225985926	1.2152150908641708	159.39969882662652	19.39969882662652	19.208233460916954	1.1329251930509605	15.480774975058537	0.7702202658538566	23.322360223779185	3.109933155690408	72.57787526547045	-76.97951063131069	1.9767618650231178	141.16409617533168	20.465226660995306	10.421319342261055	21.110234967538855	0.8390001060329706	3	
11	G005.5941+00.7335	17	55	36.02	-	23	45	21.8	T		N		7.6	350	9.78	9.22	0.5	I	6.825966040892546	0.8375727808301414	323.7980690843571	-26.20193091564289	8.14853681877954	0.9248654199293521	12.7736043139212	1.781404231278158	11.687581611995444	1.558272452423516	101.4812553507328	-85.76839485464228	0.0	141.0	8.461468787074848	6.039302553203321	62.551644265303715	0.7314247845470883	3	
12	G005.6985-00.6350	18	1	6.02	-	24	21	34.4	T		N		20.8	180	11.56	9.11	2.24	I	22.795253007226883	1.2696114966070924	197.84106821955694	17.841068219556945	30.635695578035065	2.7018669866281995	27.152057400788358	2.2629084111926456	22.14638387749732	1.2201905860378819	106.48861748955204	-64.88262788796793	2.1373773524759123	169.04500947262466	25.91405932227111	24.12061069414072	31.881021499667213	0.4995659325252887	3	
13	G006.2812+23.5877	16	37	9.54	-	10	34	1.5	V88	Zeta Oph	-		29.0	30	2.59		-99.0	I																			0	
14	G006.2977-00.2012	18	0	40.59	-	23	36	50.7	T		N	C	24.0	210	13.07	12.16	0.82	H	27.14875756958936	1.2894278932319159	270.303959924928	60.303959924927995	25.775325290630768	2.293551934827595	36.21317908901849	4.70541008926079	34.71547238323269	4.374828746491704	53.131188030332225	-72.89494390549339	-6.616912310297017	130.2026739647057	25.58983827107331	27.670710678392172	46.17099689478645	0.6430748191982673	4	
15	G006.3600-00.1846	18	0	44.92	-	23	33	6.3	T		N		5.5	110	9.32	9.11	0.18	I	7.035276349925809	1.0069609416224101	116.80612436061938	6.806124360619378	14.118600739603393	1.1206366349754007	9.332576944447377	1.313723441767606	12.278492921492898	2.262451106381269	112.3290016483171	-87.53194945939146	0.0	141.0	7.491770911329015	7.0172327925144025	15.679978564342472	0.15496094438814478	1	
