Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	H_d_out	H_d_in	R0_g	Peak24	Contrast	Rating	Comment
1	G000.1169-00.5703	17	48	7.01	-	29	7	55.5	T		Y	C	26.4	27	8.97	8.72	0.22	I	30.514868183331945	0.20453806811729125	17.068181803708526	-9.931818196291474	50.19003038299621	1.4617513293960833	52.83398596224494	4.263549168188854	46.704247119028494	3.6980624272508846	83.33418828112671	-72.3109884181141	47.54607361924775	-30.502401030422334	125.7546186824647	-110.20410313403323	6.808235635116195	140.5785463904082	49.08355429634252	46.72717793432835	-7.953083649668457	54.68026158399681	30.23474341662839	122.38243082742821	0.3027155719594671	4	
2	G000.3100-01.0495	17	50	27.59	-	29	12	46.8	T		N	C	6.8	145	10.57	10.31	0.23	I	14.153974848549487	0.592200423315329	104.1961302549297	-40.8038697450703	17.775661706538976	1.2479025821124203	11.951180354672497	0.9821490352741113	14.916912705602618	1.130026970889954	nan	-133.1754990417219	39.01656310648224	-48.570617431807634	nan	nan	0.0	141.0	32.05554819140984	44.26932646367058	20.54686126762101	23.72246519604957	33.58387331014378	18.728535145793497	0.053391135994371536	3	
3	G001.0563-00.1499	17	48	41.78	-	28	6	37.8	T		Y		6.2	200	11.14	9.8	1.22	H	7.178119291173985	0.5694780495502041	213.43058091047837	13.430580910478369	17.900617375298914	1.272082439410783	9.581815594974028	1.1122634432039247	14.246876652183115	1.255196821731759	120.44950420877393	nan	63.77467513378696	-89.22236663792906	nan	nan	0.0	141.0	2.762411724432376e-38	26.081717223146345	5.6970083851983055	20.38470883794804	14.574141048452857	19.08607387927644	0.02682324032669255	0	missing
4	G001.2588-00.0780	17	48	53.4	-	27	53	59.7	T		N	C	10.2	215	12.28	11.22	0.96	FH	12.483413847699069	0.3440850748650361	210.01279693807288	-4.987203061927119	32.18024648447275	1.023229510052904	24.150261162918742	2.8177978388786284	19.349629932342474	1.9059116617372505	93.28490959543973	-91.99177273081956	59.36909966633647	-48.96041297221032	123.61077605062127	-146.92303859988073	1.9820007191314282	191.420391523389	32.950128987413684	33.11363941118801	3.0163711299785554	30.097268281209455	11.811689397271124	34.77325476220037	0.0933227259092762	3	
5	G003.5118-00.0470	17	53	56.0	-	25	56	50.3	T		N		8.6	135	10.69	9.69	0.91	I	9.285528201980453	0.48790314424542175	118.70132958265104	-16.29867041734896	18.481594795485265	0.936501935935167	16.876939709962404	0.9358579180332641	12.04790932497309	1.4191904617003255	132.33133391328602	-130.26955508401392	62.17181641197632	-71.99062375312954	172.06608583572552	-174.639255816814	-4.600681492300338	156.30675334428378	17.866125080631235	30.139569928186503	5.570313232996689	24.569256695189814	10.16478975744687	2.4095689832846037	0.006884523946579831	3	
6	G003.7391+00.1425	17	53	43.03	-	25	39	19.2	T		N		3.9	20	11.48	9.41	1.89	I																										0	missing
7	G003.8417-01.0440	17	58	30.64	-	26	9	49.1	T		Y		12.6	25	10.22	9.87	0.31	FB	12.014733528472	0.29264714931103697	24.36969882757884	-0.6303011724211594	26.864081032158108	0.9118439486769211	26.288336840849748	1.5027930952010624	nan	nan	98.73060297525056	-140.6852677643152	66.4325419526376	-41.059375976987326	177.53658090708345	-175.0664469098466	8.439433062668417	107.35201375597082	6.665242812648922	6.816936996497942	-8.005344019277327	14.82228101577527	11.837243383166932	3.780115426391923	0.010483261998071196	0	missing
8	G004.3087+00.2222	17	54	41.06	-	25	7	25.6	T		N		10.1	260	13.94	12.1	1.68	I	5.958767812836224	1.350409127083176	268.22894907059344	8.228949070593444	3.160711879431132	1.2260496246214712	7.240938451279677	2.698380972304972	7.525807263970404	2.2793583975036875	nan	nan	130.01651186507178	-114.5168143084723	nan	nan	0.0	141.0	8.753053773079314	23.73669423633685	1.0408152642757873	22.695878972061063	6.056831583729137	-0.5031106638901551	-0.0013457546684929867	2	too small
9	G004.7315-00.3875	17	57	57.06	-	25	3	53.6	T		N	C	10.1	125	13.3	11.77	1.39	I	17.045269589539735	0.5711461022332137	142.97164546787272	17.97164546787272	23.21084445249811	0.9724416735034734	25.949541488973523	4.226359182058246	20.38688426610806	1.2317730572536838	80.55713719726879	-70.02684551326496	44.31061236080396	-42.44545118914061	121.79703557318146	-123.40008633374825	0.6922934830625965	124.79714967169339	36.06761993932125	33.91579266233394	-1.2354453194165345	35.15123798175047	16.084219273312844	16.05664166777573	0.0471116130928025	3	
10	G004.8449-00.9309	18	0	17.05	-	25	14	14.7	T	HD314937	N		3.1	140	9.36	9.31	0.03	I	10.24770628699863	1.0361974219537977	149.05482367578173	9.054823675781734	27.126024073541494	1.1271088042064163	16.713491049845942	1.9466508852940414	22.007194037928933	2.088445427372136	93.42952714895048	-101.40351053301225	59.591765612295234	-70.11291762533678	140.01934194377947	-152.05956261791505	-5.115675470678359	179.75943206579007	21.489668292505122	36.09191239523778	6.2582911570608655	29.83362123817691	11.859152885483692	2.9950668397002254	0.00880500686498139	3	
11	G005.5941+00.7335	17	55	36.02	-	23	45	21.8	T		N		7.6	350	9.78	9.22	0.5	I	4.015731439610908	0.11791702016466465	347.43720384511766	-2.562796154882335	32.98501310480847	1.3269535524368046	11.996511044191399	1.9063939038136126	10.64544332635887	1.6808251342782325	132.94409479485424	-123.26900735130715	88.64815079016398	-65.31953698051353	142.40171995391785	-143.62645199882792	3.504614491558101	676.9951609083842	13.161296097754507	21.029700882080153	5.794388000724366	15.235312881355787	5.321400813984603	1.9842282754225273	0.005194026365711275	2	too small
12	G005.6985-00.6350	18	1	6.02	-	24	21	34.4	T		N		20.8	180	11.56	9.11	2.24	I	19.46756814154474	0.004001203164198941	189.58068480031852	9.580684800318522	40.32998478638611	1.118167276628175	28.19191952020945	1.0576302707048781	nan	nan	134.2321455418977	-130.86296344850354	74.64661062455414	-51.090435766645925	140.5669825248931	-165.92863185513158	11.614668526379363	163.01573577789313	35.11769037212318	48.130175547756224	1.1303355126035441	46.99984003515269	24.32196467444992	19.13371285958554	0.05143999735078541	3	
13	G006.2812+23.5877	16	37	9.54	-	10	34	1.5	V88	Zeta Oph	-		299.0	30	2.59		-99.0	I	295.5653624982375	1.70574126091023	23.70481239309844	-6.29518760690156	838.909813754813	10.36438659070752	762.1270118025938	91.90453593877102	499.3489530124298	60.79351644733566	68.547071430073	-79.76680695856868	61.06635555257711	-18.459622087858357	74.3242628429655	-104.29731404309217	-0.12245004923752219	163.96292875649723	158.48920166550263	143.3116767681451	-270.58762044824124	413.89929721638634	256.8831905477577	63.52108512880181	0.24862825532799784	5	
