Source	D prime	R0/D prime	Rc/R0 prime full	Rc/R0 prime select	beta	xi	inc	D	R0/D
168-328	6.83	0.15215606357478892	1.4164992268470422	1.45	0.0175	0.4	32.5	0.017310757293802208	0.11499999999999999
169-338	16.47	0.05895911990982715	1.756719423051668	1.5	0.0015	0.8	42.5	0.04877516519073167	0.035
177-341	25.65	0.14397646104558678	1.2123648832472926	1.25	0.0175	0.1	30.0	0.06357943575376153	0.11499999999999999
180-331	25.12	0.060974048195289274	1.2974361231813194	1.2666666666666666	0.0026666666666666666	0.4	35.0	0.06651966912446895	0.04666666666666667
LV2	7.83	0.30529869902309287	0.8085826730420234	1.5	0.085	0.1	12.5	0.01756673891737045	0.225
LV2b	7.01	0.0971681085388762	1.9956964777962618	1.625	0.0075	0.8	27.5	0.01750274351147839	0.0775
LV3	6.91	0.334281669145012	1.8095548052449995	1.85	0.07500000000000001	0.6	35.0	0.018132031669416977	0.20500000000000002
LV4	6.2	0.1857391409005547	2.592810397698802	2.0500000000000003	0.04	0.8	18.333333333333332	0.014342081520476094	0.16
LV5	9.42	0.21331594959051828	1.5655782739730477	1.6	0.055	0.2	20.0	0.021481124577768115	0.19
