Byte-by-byte Description of file: table6.dat
--------------------------------------------------------------------------------
   Bytes Format Units       Label     Explanations
--------------------------------------------------------------------------------
   1-  4  I4    ---         Seq       [1/1643] Sequential entry number
   6-  9  I4    ---         oncwfpc2  [1/1643] First (Main) entry number
                                        (1488 unique numbers)
  11- 12  I2    h           RAh       [5] Hour of Right Ascension (J2000)
  14- 15  I2    min         RAm       [34/35] Minute of Right Ascension (J2000)
  17- 22  F6.3  s           RAs       Second of Right Ascension (J2000)
      24  A1    ---         DE-       [-] Sign of the Declination (J2000)
  25- 26  I2    deg         DEd       [5] Degree of Declination (J2000)
  28- 29  I2    arcmin      DEm       [14/42] Arcminute of Declination (J2000)
  31- 35  F5.2  arcsec      DEs       Arcsecond of Declination (J2000)
  37- 38  A2    ---         visit     HST Visit
  39- 40  I2    ---         CCD       [1/4] WFPC2 CCD chip; 1:PC; 2,3,4: WFC
  42- 49  F8.2  pix         x336      X position in F336W image
  51- 58  F8.2  pix         x439      X position in F439W image
  60- 67  F8.2  pix         x656      [50.73/795.99] X position in F656N image
  69- 76  F8.2  pix         x814      X position in F814W image
  78- 85  F8.2  pix         y336      Y position in F336W image
  87- 94  F8.2  pix         y439      Y position in F439W image
  96-103  F8.2  pix         y656      [44/798.9] Y position in F656N image
 105-112  F8.2  pix         y814      Y position in F814W image
 114-120  F7.4  mag         F336mag   ?=99.9999 HST/WFPC2 F336W Vega magnitude
 122-128  F7.4  mag       e_F336mag   ?=99.9999 Uncertainty in F336W (1)
     130  I1    ---       f_F336mag   ? Flag on F336W (2)
 132-138  F7.4  mag         F439mag   ?=99.9999 HST/WFPC2 F439W Vega magnitude
 140-146  F7.4  mag       e_F439mag   ?=99.9999 Uncertainty in F439W (1)
     148  I1    ---       f_F439mag   ? Flag on F439W (2)
 150-156  F7.4  mag         F656mag   [0/21]?=99.9999 HST/WFPC2 F656N Vega
                                       magnitude
 158-164  F7.4  mag       e_F656mag   ?=99.9999 Uncertainty in F656N (1)
     166  I1    ---       f_F656mag   ? Flag on F656N (2)
 168-174  F7.4  mag         F814mag   ?=99.9999 HST/WFPC2 F814W Vega magnitude
 176-182  F7.4  mag       e_F814mag   ?=99.9999 Uncertainty in F814W (1)
     184  I1    ---       f_F814mag   ? Flag on F814W (2)
 186-188  F3.1  arcsec      rad336    Extraction radius in F336W image
 190-192  F3.1  arcsec      rad439    Extraction radius in F439W image
 194-196  F3.1  arcsec      rad656    [0.1/0.5] Extraction radius in F656N image
 198-200  F3.1  arcsec      rad814    Extraction radius in F814W image
 202-209  F8.2  ct          csky336   Sky counts in F336W image
 211-218  F8.2  ct          csky439   Sky counts in F439W image
 220-227  F8.2  ct          csky656   [0/6.55] Sky counts in F656N image
 229-236  F8.2  ct          csky814   Sky counts in F814W image
 238-245  F8.2  ct        e_csky336   Sigma sky counts in F336W image
 247-254  F8.2  ct        e_csky439   Sigma sky counts in F439W image
 256-263  F8.2  ct        e_csky656   [0/0.81] Sigma sky counts in F656N image
 265-272  F8.2  ct        e_csky814   Sigma sky counts in F814W image
 274-281  F8.2  ct          max336    Peak counts in F336W image
 283-290  F8.2  ct          max439    Peak counts in F439W image
 292-299  F8.2  ct          max656    [1.71/4664.47] Peak counts in F656N image
 301-308  F8.2  ct          max814    Peak counts in F814W image
 311-320  A10 "YYYY/MM/DD"  Date      Date of the observation; GMT
 322-329  A8   "h:m:s"      time      Time of the observation; GMT
--------------------------------------------------------------------------------
Note (1): If both magnitude and its uncertainty are 99.999, then the source
          could not be measured (e.g. at the edge of the field, negative
          counts, etc.).
Note (2): Flag as follows:
    0 = undetected;
    1 = ok;
    3 = upper limit;
    4 = not measured.
--------------------------------------------------------------------------------
   1    1  5 34 15.000 -05 22 59.00 2d 1    93.12    93.12    93.11    93.12   400.24   400.24   400.72   400.19 21.3429  0.1829 1 20.7107  0.1641 1 17.0872  0.0385 1 16.2458  0.0193 1 0.1 0.1 0.1 0.1     0.00     0.00     0.01     0.01     0.00     0.01     0.00     0.05     5.67     7.28    35.30    75.51  2004 10 29 23 41 16
   2    2  5 34 16.000 -05 22 56.00 2d 2   109.08   109.08   109.08   109.08   205.05   205.05   205.05   205.05 99.9999 99.9999 0 99.9999 21.5216 2 99.9999 19.3995 2 18.6440  0.0772 1 0.5 0.5 0.5 0.1     0.01     0.01     0.03     0.03     0.00     0.01     0.00     0.06    75.51     1.71    15.65    14.55  2004 10 29 22 45 16
   3    3  5 34 17.000 -05 22 36.00 2d 2   207.78   207.78   207.80   207.79   405.37   405.37   405.19   405.29 22.0104  0.1760 1 20.6517  0.1028 1 17.2461  0.0469 1 16.4892  0.0214 1 0.1 0.1 0.5 0.5     0.01     0.01     0.03     0.02     0.00     0.01     0.00     0.06    15.29     6.98    66.72    77.60  2004 10 30 00 00 16
   4    4  5 34 17.000 -05 22 47.00 2d 2   112.17   112.17   112.19   112.18   344.08   344.08   344.01   344.08 21.4696  0.1185 1 21.4937  0.2097 1 16.9737  0.0429 1 16.0760  0.0175 1 0.1 0.1 0.5 0.5     0.01     0.01     0.03     0.03     0.00     0.01     0.00     0.06    19.37     5.92    91.59   157.32  2004 10 29 22 49 16
   5    5  5 34 22.000 -05 22 26.00 2c 2   557.87   557.87   558.02   557.87   385.90   385.90   385.91   385.90 21.9161  0.1594 1 21.2905  0.1492 1 17.1299  0.0643 1 15.5635  0.0147 1 0.1 0.1 0.1 0.5     0.01     0.01     0.07     0.05     0.00     0.01     0.01     0.06    18.71     8.48   119.73   269.63  2004 10 29 23 41 16
   6    6  5 34 18.000 -05 22 54.00 2d 3   442.85   442.85   442.85   442.88   132.56   132.56   132.56   132.58 99.9999 21.9950 2 22.0014  0.2726 1 18.5023  0.0973 1 17.5885  0.0432 1 0.5 0.1 0.1 0.5     0.01     0.01     0.04     0.03     0.00     0.01     0.00     0.06    12.26     3.20    35.26    31.21  2004 10 29 22 45 16
   7    7  5 34 20.000 -05 23 29.00 2c 1   480.04   480.69   480.73   480.92   355.77   356.00   357.01   356.23 16.9092  0.0119 1 18.0673  0.0248 1 14.5985  0.0139 1 14.6187  0.0119 1 0.1 0.1 0.5 0.1     0.00     0.00     0.01     0.04     0.00     0.01     0.00     0.05   691.87    79.48   487.05   363.95  2004 10 30 00 00 16
   8    7  5 34 20.000 -05 23 29.00 2d 3   540.07   540.13   539.92   539.96   624.28   624.13   623.89   623.93 19.6964  0.0421 1 19.0211  0.0370 1 15.3076  0.0192 1 14.7453  0.0124 1 0.1 0.1 0.5 0.5     0.01     0.01     0.05     0.05     0.00     0.01     0.00     0.06    63.04    44.41   375.14   609.34  2004 10 29 22 49 16
   9    9  5 34 24.000 -05 22 10.00 2c 2   484.87   484.87   484.87   484.87   773.97   773.97   773.97   773.97 18.7573  0.0279 1 18.0260  0.0237 1 14.7178  0.0158 1 14.1085  0.0114 1 0.5 0.5 0.5 0.5     0.01     0.01     0.09     0.08     0.00     0.01     0.01     0.07   153.81   100.99   799.17  1063.10  2004 10 29 23 41 16
  10   10  5 34 26.000 -05 23 23.00 2c 3   561.86   561.86   561.86   561.86   361.07   361.07   361.07   361.07 20.4152  0.0590 1 19.6294  0.0475 1 15.3970  0.0205 1 14.2740  0.0115 1 0.1 0.1 0.5 0.5     0.02     0.01     0.11     0.07     0.00     0.01     0.00     0.06    42.86    23.94   362.78   830.29  2004 10 29 22 45 16
